,Correlation
Code_NOR,0.4493880006948619
Entity_Norway,0.4493880006948619
Entity_Iceland,0.4026673823476508
Code_ISL,0.4026673823476508
Entity_New Zealand,0.22574730765815998
Code_NZL,0.22574730765815998
Code_BRA,0.223402920797755
Entity_Brazil,0.223402920797755
Entity_Sweden,0.18227997921780334
Code_SWE,0.18227997921780334
Entity_Switzerland,0.16426788724267255
Code_CHE,0.16426788724267255
Entity_Middle Africa (BP),0.15292111248918797
Code_AUT,0.1469110454725561
Entity_Austria,0.1469110454725561
Entity_Eastern Africa (BP),0.1404079485490642
Code_CAN,0.13865612647607084
Entity_Canada,0.13865612647607084
Entity_South America,0.12252339206958901
Code_COL,0.12062115403448904
Entity_Colombia,0.12062115403448904
Entity_South and Central America (BP),0.1130793996818295
Entity_Peru,0.11250602395967957
Code_PER,0.11250602395967957
Year,0.10808292125902708
Entity_Central America (BP),0.0929575278963423
Code_CHL,0.08593376723751683
Entity_Chile,0.08593376723751683
Entity_Hong Kong,0.08411642616328004
Code_HKG,0.08411642616328004
Code_TTO,0.08364893111253213
Entity_Trinidad and Tobago,0.08364893111253213
Code_SAU,0.08346011812876668
Entity_Saudi Arabia,0.08346011812876668
Code_KWT,0.08344625640638112
Entity_Kuwait,0.08344625640638112
Entity_Oman,0.08343293238677195
Code_OMN,0.08343293238677195
Code_QAT,0.08336756030425634
Entity_Qatar,0.08336756030425634
Entity_United Arab Emirates,0.08312528912744473
Code_SGP,0.08231854268697983
Entity_Singapore,0.08231854268697983
Code_ISR,0.08116013082284129
Entity_Israel,0.08116013082284129
Code_ZAF,0.07893353552356412
Entity_South Africa,0.07893353552356412
Entity_Cyprus,0.07844748347940285
Code_CYP,0.07844748347940285
Code_DZA,0.07686674046701891
Entity_Algeria,0.07686674046701891
Code_HUN,0.07463697382553797
Entity_Hungary,0.07463697382553797
Entity_Middle East (BP),0.07458011997318043
Entity_Luxembourg,0.07308125379747858
Code_LUX,0.07308125379747858
Code_KOR,0.07297362657854656
Entity_South Korea,0.07297362657854656
Entity_Portugal,0.07285129786082646
Code_PRT,0.07285129786082646
Entity_Belgium,0.07084647617942286
