,Correlation
Code_ISL,0.16684292450820778
Entity_Iceland,0.16684292450820778
Entity_Norway,0.16435175478658462
Code_NOR,0.16435175478658462
Code_ALB,0.14685900995729145
Entity_Albania,0.14685900995729145
Entity_Brazil,0.1377732236697424
Code_BRA,0.1377732236697424
Code_BTN,0.1285925915008805
Entity_Bhutan,0.1285925915008805
Entity_Lesotho,0.12859259066463025
Code_LSO,0.12859259066463025
Entity_Paraguay,0.1285272626966142
Code_PRY,0.1285272626966142
Entity_Democratic Republic of Congo,0.12807203153921118
Code_COD,0.12807203153921118
Entity_Middle Africa (BP),0.12800224909520594
Code_NPL,0.12786893348541628
Entity_Nepal,0.12786893348541628
Code_ETH,0.12443449231475548
Entity_Ethiopia,0.12443449231475548
Code_TJK,0.12399812019365569
Entity_Tajikistan,0.12399812019365569
Entity_Namibia,0.12335789898224123
Code_NAM,0.12335789898224123
Code_ZMB,0.12177777358677067
Entity_Zambia,0.12177777358677067
Code_CRI,0.12000730839234786
Entity_Costa Rica,0.12000730839234786
Entity_Mozambique,0.1184093257886021
Code_MOZ,0.1184093257886021
Code_SWZ,0.11421453126415877
Entity_Eswatini,0.11421453126415877
Entity_Malawi,0.1099578782075258
Code_MWI,0.1099578782075258
Code_CAF,0.10969497076962001
Entity_Central African Republic,0.10969497076962001
Code_NZL,0.1092551373156649
Entity_New Zealand,0.1092551373156649
Entity_Laos,0.10920194527357069
Code_LAO,0.10920194527357069
Code_KGZ,0.10872796429417192
Entity_Kyrgyzstan,0.10872796429417192
Code_BDI,0.10796200137243596
Entity_Burundi,0.10796200137243596
Entity_South America,0.10650981010614059
Entity_Uganda,0.10436237757569111
Code_UGA,0.10436237757569111
Entity_Eastern Africa (BP),0.10377676002821443
Code_COL,0.10130747855551367
Entity_Colombia,0.10130747855551367
Code_AUT,0.1005058261934157
Entity_Austria,0.1005058261934157
Entity_Uruguay,0.09909638353407317
Code_URY,0.09909638353407317
Entity_Georgia,0.09664713904206214
Code_GEO,0.09664713904206214
Entity_Peru,0.09572092644315913
Code_PER,0.09572092644315913
Entity_Central America (BP),0.09539224036787798
Code_ECU,0.09366281268181662
Entity_Ecuador,0.09366281268181662
Entity_South and Central America (BP),0.09142468986164741
Code_AFG,0.09018048847949253
Code_VEN,0.08777233778311837
Entity_Venezuela,0.08777233778311837
Entity_Cameroon,0.08606652516997748
Code_CMR,0.08606652516997748
Code_KEN,0.0831783485433932
Entity_Kenya,0.0831783485433932
Entity_Canada,0.07903059616019668
Code_CAN,0.07903059616019668
Entity_Angola,0.07445955453982435
Code_AGO,0.07445955453982435
Code_LVA,0.07393864300499792
Entity_Latvia,0.07393864300499792
Code_LKA,0.07219008389084051
Entity_Sri Lanka,0.07219008389084051
Code_HKG,0.07188654226010203
Entity_Hong Kong,0.07188654226010203
Code_KWT,0.07187221467303925
Entity_Kuwait,0.07187221467303925
Code_SAU,0.07186928408068366
Entity_Saudi Arabia,0.07186928408068366
Year,0.0718450117373113
Code_OMN,0.07183783494178116
Entity_Oman,0.07183783494178116
Code_QAT,0.07183664235837402
Entity_Qatar,0.07183664235837402
Code_TTO,0.07099555893309842
Entity_Trinidad and Tobago,0.07099555893309842
Code_ARE,0.07094548980108102
Entity_United Arab Emirates,0.07094548980108102
Entity_Singapore,0.07033487681714387
Code_SGP,0.07033487681714387
Entity_North Korea,0.06993465650960072
Code_PRK,0.06993465650960072
Entity_Israel,0.06986320983489727
Code_ISR,0.06986320983489727
Code_DZA,0.06927753153887711
Entity_Algeria,0.06927753153887711
Code_GRL,0.06820170826955319
Entity_Greenland,0.06820170826955319
Entity_South Africa,0.0680145616899699
Code_ZAF,0.0680145616899699
Code_TKM,0.0668140020016562
Entity_Turkmenistan,0.0668140020016562
Code_SLV,0.06555248635951551
Entity_El Salvador,0.06555248635951551
Code_CYP,0.06547202454947772
Entity_Cyprus,0.06547202454947772
Code_BLR,0.065368982115259
Entity_Belarus,0.065368982115259
Entity_South Korea,0.06531845680773096
Code_KOR,0.06531845680773096
Entity_Congo,0.0643868855406436
Code_COG,0.0643868855406436
Code_PAN,0.06387979305781318
Entity_Panama,0.06387979305781318
Entity_Middle East (BP),0.0630938207507529
Code_FJI,0.06204419306922559
Entity_Fiji,0.06204419306922559
Entity_Ghana,0.06191807613333229
Code_GHA,0.06191807613333229
Entity_Switzerland,0.06179552890790249
Code_CHE,0.06179552890790249
Code_HRV,0.06167585392742151
Entity_Croatia,0.06167585392742151
Code_TWN,0.061533784080506644
Entity_Taiwan,0.061533784080506644
Entity_Malta,0.06136418575501486
Code_MLT,0.06136418575501486
Code_GUF,0.06039040953035546
Entity_French Guiana,0.06039040953035546
Entity_Hungary,0.0601447319306238
Code_HUN,0.0601447319306238
Code_BLZ,0.05949141215933318
Entity_Belize,0.05949141215933318
Entity_Bangladesh,0.05892296712567373
Code_BGD,0.05892296712567373
Entity_Poland,0.05867532549226778
Code_POL,0.05867532549226778
Entity_Czechia,0.05858663569335289
Code_CZE,0.05858663569335289
Code_TZA,0.057856621407084814
Entity_Tanzania,0.057856621407084814
Entity_Guinea,0.05658346113671453
Code_GIN,0.05658346113671453
Entity_Zimbabwe,0.05606753517323368
Code_ZWE,0.05606753517323368
Code_SWE,0.05539960976102058
Entity_Sweden,0.05539960976102058
Entity_Djibouti,0.05538250618767947
Code_DJI,0.05538250618767947
Entity_Bahamas,0.055382506187679426
Code_BHS,0.055382506187679426
Entity_Nauru,0.05538250618767942
Code_NRU,0.05538250618767942
Entity_Gambia,0.05538250618767939
Code_GMB,0.05538250618767939
Code_COM,0.05538250618767936
Code_BRN,0.05538250618767936
Entity_Brunei,0.05538250618767936
Entity_Comoros,0.05538250618767936
Entity_Guinea-Bissau,0.05538250618767934
Code_GNB,0.05538250618767934
Code_VGB,0.05538250618767932
Entity_British Virgin Islands,0.05538250618767932
Code_TCA,0.055382506187679294
Entity_Turks and Caicos Islands,0.055382506187679294
Code_ASM,0.05538250618767928
Entity_American Samoa,0.05538250618767928
Entity_Macao,0.05538250618767927
Code_MAC,0.05538250618767927
Entity_Saint Pierre and Miquelon,0.055382506187679266
Code_SPM,0.055382506187679266
Entity_Montserrat,0.05538250618767924
Code_MSR,0.05538250618767924
Code_GRD,0.05538250618767923
Entity_Grenada,0.05538250618767923
Entity_Saint Lucia,0.05538250618767921
Code_KIR,0.05538250618767921
Entity_Kiribati,0.05538250618767921
Code_LCA,0.05538250618767921
Entity_Solomon Islands,0.0553825061876792
Code_SLB,0.0553825061876792
Code_BHR,0.05535885591627778
Entity_Bahrain,0.05535885591627778
Entity_Libya,0.05535054876914568
Code_LBY,0.05535054876914568
Code_BWA,0.05524824152660165
Entity_Botswana,0.05524824152660165
Code_BEL,0.055148534224237544
Entity_Belgium,0.055148534224237544
Code_CYM,0.05441671781134727
Entity_Cayman Islands,0.05441671781134727
Code_ERI,0.054409068218807796
Entity_Eritrea,0.054409068218807796
Entity_Benin,0.0542523561155952
Code_BEN,0.0542523561155952
Entity_United States Virgin Islands,0.054219522832685454
Code_VIR,0.054219522832685454
Code_CHL,0.053810864521805044
Entity_Chile,0.053810864521805044
Entity_Antigua and Barbuda,0.05339164665453116
Code_ATG,0.05339164665453116
Code_GUM,0.05322599930735247
Entity_Guam,0.05322599930735247
Code_PRI,0.053113515509838526
Entity_Puerto Rico,0.053113515509838526
Entity_Barbados,0.05300589610085583
Code_BRB,0.05300589610085583
Entity_Netherlands,0.05272444172152757
Code_NLD,0.05272444172152757
Code_MDV,0.05269910768383666
Entity_Maldives,0.05269910768383666
Code_UKR,0.052415623908557474
Entity_Ukraine,0.052415623908557474
Code_IRN,0.052335927497639094
Entity_Iran,0.052335927497639094
Entity_Somalia,0.0522269260728726
Code_SOM,0.0522269260728726
Code_GTM,0.05187666475398189
Entity_Guatemala,0.05187666475398189
Code_KNA,0.0518130562887315
Entity_Saint Kitts and Nevis,0.0518130562887315
Code_SYC,0.051630581408444114
Entity_Seychelles,0.051630581408444114
Code_SDN,0.05154302415971364
Entity_Sudan,0.05154302415971364
Entity_Tunisia,0.05149727532452112
Code_TUN,0.05149727532452112
Code_TLS,0.05145682321641946
Entity_Timor,0.05145682321641946
Entity_Niger,0.050919556068092994
Code_NER,0.050919556068092994
Code_MMR,0.05033466192545593
Entity_Myanmar,0.05033466192545593
Entity_Latin America and Caribbean (Ember),0.05025987412520944
Code_MNG,0.05022587474835553
Entity_Mongolia,0.05022587474835553
Code_BGR,0.049763929189926843
Entity_Bulgaria,0.049763929189926843
Entity_Mali,0.04968426797831071
Code_MLI,0.04968426797831071
Code_THA,0.04942641926156507
Entity_Thailand,0.04942641926156507
Entity_Yemen,0.04940953733524214
Code_YEM,0.04940953733524214
Entity_Kosovo,0.04937582958330082
Code_OWID_KOS,0.04937582958330082
Entity_Tonga,0.04935951190566914
Code_TON,0.04935951190566914
Entity_Rwanda,0.049139607195328505
Code_RWA,0.049139607195328505
Code_EST,0.048520758625594726
Entity_Estonia,0.048520758625594726
Entity_United Kingdom,0.04849366816501142
Code_GBR,0.04849366816501142
Code_JOR,0.04738004006557475
Entity_Jordan,0.04738004006557475
Entity_Chad,0.04696500168583467
Code_TCD,0.04696500168583467
Entity_Low-income countries,0.04667720405176438
Entity_Palestine,0.045898992593272556
Code_PSE,0.045898992593272556
Entity_Lebanon,0.045585217017394875
Code_LBN,0.045585217017394875
Entity_Liberia,0.0455850585813865
Code_LBR,0.0455850585813865
Entity_Iraq,0.045407501104784635
Code_IRQ,0.045407501104784635
Code_AZE,0.04540321170193504
Entity_Azerbaijan,0.04540321170193504
Entity_Morocco,0.04480874647356163
Code_MAR,0.04480874647356163
Entity_Montenegro,0.04450316806324586
Code_MNE,0.04450316806324586
Code_MDA,0.04447224909041872
Entity_Moldova,0.04447224909041872
Code_USA,0.043911909117796896
Entity_United States,0.043911909117796896
Code_AUS,0.04372960326111421
Entity_Australia,0.04372960326111421
Code_COK,0.04242062436399389
Entity_Cook Islands,0.04242062436399389
Code_JPN,0.042200142958048935
Entity_Japan,0.042200142958048935
Code_KAZ,0.042101180058641226
Entity_Kazakhstan,0.042101180058641226
Code_MTQ,0.040872863885303465
Entity_Martinique,0.040872863885303465
Code_MYS,0.040575096686326466
Entity_Malaysia,0.040575096686326466
Code_SYR,0.039993900915863606
Entity_Syria,0.039993900915863606
Code_VNM,0.039528831643784734
Entity_Vietnam,0.039528831643784734
Entity_Sierra Leone,0.0394207166208911
Code_SLE,0.0394207166208911
Entity_Ireland,0.03920406918665686
Code_IRL,0.03920406918665686
Entity_Aruba,0.0390720424894707
Entity_Uzbekistan,0.038311013794753726
Code_UZB,0.038311013794753726
Code_MDG,0.038198838154392324
Entity_Madagascar,0.038198838154392324
Entity_Western Sahara,0.03730621061348055
Code_ESH,0.03730621061348055
Code_GAB,0.03665849678824123
Entity_Gabon,0.03665849678824123
