,Correlation
Code_OWID_WRL,0.5162174627190518
Entity_World,0.5162174627190518
Entity_G20 (Ember),0.34618682439459
Entity_OECD (BP),0.24687729393598318
Entity_Non-OECD (BP),0.24472623909600996
Entity_High-income countries,0.23043976627235277
Entity_Upper-middle-income countries,0.18327317172770738
Entity_OECD (Ember),0.177246661024596
Entity_Asia (Ember),0.14838273834043877
Entity_Asia,0.12593596229267118
Entity_Europe,0.11801255260661729
Entity_Asia Pacific (BP),0.11708789239530878
Entity_North America,0.10884526263010591
Entity_North America (BP),0.10731980426405252
Entity_G7 (Ember),0.10037311975590016
Entity_Europe (Ember),0.09120747750887205
Entity_Europe (BP),0.08957262563161801
Entity_Latin America and Caribbean (Ember),0.07805568820210075
Entity_North America (Ember),0.07123085632641987
Entity_South and Central America (BP),0.06422590895898249
Entity_South America,0.060803367750428564
Code_CHN,0.05165786015945606
Entity_China,0.05165786015945606
Entity_European Union (27),0.0420392822948664
Code_CAN,0.040127032482634356
Entity_Canada,0.040127032482634356
Year,0.03759174508948907
Code_USA,0.035161313858461954
Entity_United States,0.035161313858461954
Entity_European Union (27) (Ember),0.030391559096462902
Entity_Cyprus,0.026301460935456707
Code_CYP,0.026301460935456707
Code_DNK,0.026295828425637914
Entity_Denmark,0.026295828425637914
Entity_Netherlands,0.026289301249204634
Code_NLD,0.026289301249204634
Entity_Luxembourg,0.02628164978024467
Code_LUX,0.02628164978024467
Entity_Hungary,0.026262803557985964
Code_HUN,0.026262803557985964
Entity_Belgium,0.02623424813355299
Code_BEL,0.02623424813355299
Entity_Ireland,0.026131943356232923
Code_IRL,0.026131943356232923
Entity_Oman,0.02607225400062378
Code_OMN,0.02607225400062378
Code_SGP,0.026072254000623768
Entity_Singapore,0.026072254000623768
Entity_Kuwait,0.02607225400062376
Code_KWT,0.02607225400062376
Entity_Hong Kong,0.026072254000623747
Code_HKG,0.026072254000623747
Code_QAT,0.026072254000623723
Entity_Qatar,0.026072254000623723
Code_TTO,0.02607225400062372
Entity_Trinidad and Tobago,0.02607225400062372
Entity_United Arab Emirates,0.026072254000623706
Code_ARE,0.026072254000623706
Entity_Israel,0.02606967619237465
Code_ISR,0.02606967619237465
Entity_Algeria,0.026006376678702675
Code_DZA,0.026006376678702675
Code_CZE,0.025881490579345308
Entity_Czechia,0.025881490579345308
Code_POL,0.025880496954045217
Entity_Poland,0.025880496954045217
Entity_Saudi Arabia,0.025841066991384942
Code_SAU,0.025841066991384942
Code_ZAF,0.025811306827672114
Entity_South Africa,0.025811306827672114
Code_MAR,0.025791975226703925
Entity_Morocco,0.025791975226703925
Code_BGR,0.025644658944518367
Entity_Bulgaria,0.025644658944518367
Entity_Slovakia,0.025593430996983794
Code_SVK,0.025593430996983794
Code_GRC,0.025525940574583725
Entity_Greece,0.025525940574583725
Entity_Iraq,0.025510686997983537
Code_IRQ,0.025510686997983537
Code_KOR,0.025453465875336468
Entity_South Korea,0.025453465875336468
Entity_Sri Lanka,0.02543004736392677
Code_LKA,0.02543004736392677
Entity_Taiwan,0.025081219513439543
Code_TWN,0.025081219513439543
Entity_Thailand,0.025067649104897626
Code_THA,0.025067649104897626
Code_GBR,0.02502740907083836
Entity_United Kingdom,0.02502740907083836
Entity_Brazil,0.02489684163673593
Code_BRA,0.02489684163673593
Code_PHL,0.024777158427956462
Entity_Philippines,0.024777158427956462
Code_ISL,0.02469883620506437
Entity_Iceland,0.02469883620506437
Entity_Ecuador,0.02461102684896985
Code_ECU,0.02461102684896985
Code_MYS,0.024572921824247956
Entity_Malaysia,0.024572921824247956
Entity_Bangladesh,0.02449649124085315
Code_BGD,0.02449649124085315
Code_PRT,0.024234084771157325
Entity_Portugal,0.024234084771157325
Entity_Indonesia,0.02423193143496451
Code_IDN,0.02423193143496451
Code_IRN,0.024182264449520215
Entity_Iran,0.024182264449520215
Code_EGY,0.023805177672334414
Entity_Egypt,0.023805177672334414
Code_ROU,0.023455009082954392
Entity_Romania,0.023455009082954392
Entity_Finland,0.023435493284421214
Code_FIN,0.023435493284421214
Entity_Western Africa (BP),0.023401535174895433
Entity_Middle Africa (BP),0.023369253148122545
Entity_Central America (BP),0.02335495296677356
Entity_Peru,0.023041639803787102
Code_PER,0.023041639803787102
Entity_Middle East (BP),0.022957671468695377
