,Correlation
Code_NOR,0.49353239506537616
Entity_Norway,0.49353239506537616
Entity_Iceland,0.37288656457738883
Code_ISL,0.37288656457738883
Code_BRA,0.20833221059346782
Entity_Brazil,0.20833221059346782
Code_NZL,0.20605629387738858
Entity_New Zealand,0.20605629387738858
Entity_Switzerland,0.18179213679336265
Code_CHE,0.18179213679336265
Entity_Middle Africa (BP),0.17685470783509208
Code_SWE,0.17390454946387737
Entity_Sweden,0.17390454946387737
Code_CAN,0.15350005397183358
Entity_Canada,0.15350005397183358
Entity_Eastern Africa (BP),0.15293749919888258
Code_AUT,0.1473317759847551
Entity_Austria,0.1473317759847551
Entity_Colombia,0.13450103308457223
Code_COL,0.13450103308457223
Entity_South America,0.1328395962486617
Entity_Peru,0.12753513110996245
Code_PER,0.12753513110996245
Entity_South and Central America (BP),0.1079478507537444
Code_CHL,0.08260781720956335
Entity_Chile,0.08260781720956335
Entity_Sri Lanka,0.08095083347918491
Code_LKA,0.08095083347918491
Entity_Hong Kong,0.07910596840575736
Code_HKG,0.07910596840575736
Code_TTO,0.07910596840575705
Entity_Trinidad and Tobago,0.07910596840575705
Code_ISR,0.0789776926991958
Entity_Israel,0.0789776926991958
Entity_Netherlands,0.07897732927317065
Code_NLD,0.07897732927317065
Entity_Denmark,0.0788323159805777
Code_DNK,0.0788323159805777
Entity_Oman,0.07840191792343959
Code_OMN,0.07840191792343959
Entity_United Arab Emirates,0.07840191792343956
Code_KWT,0.07840191792343944
Entity_Kuwait,0.07840191792343944
Entity_Singapore,0.07840191792343941
Code_SGP,0.07840191792343941
Entity_Cyprus,0.07840191792343937
Code_CYP,0.07840191792343937
Entity_Qatar,0.0784019179234393
Code_QAT,0.0784019179234393
Code_SAU,0.07840191792343928
Entity_Saudi Arabia,0.07840191792343928
Code_BEL,0.0779369031260862
Entity_Belgium,0.0779369031260862
Code_HUN,0.07760736911341484
Entity_Hungary,0.07760736911341484
Entity_Central America (BP),0.07716634608805126
Code_ZAF,0.07605816839831925
Entity_South Africa,0.07605816839831925
Entity_Poland,0.07518556919665796
Code_POL,0.07518556919665796
Code_GBR,0.07444679755516254
Entity_United Kingdom,0.07444679755516254
Code_LUX,0.07380807730646441
Entity_Luxembourg,0.07380807730646441
Entity_Algeria,0.07136872288582106
