,Correlation
Entity_Norway,0.17779293464017762
Code_NOR,0.17779293464017762
Entity_Albania,0.16157338858889497
Code_ALB,0.16157338858889497
Entity_Middle Africa (BP),0.14249274391407996
Entity_Bhutan,0.1411955444310146
Code_BTN,0.1411955444310146
Code_LSO,0.1411955435683538
Entity_Lesotho,0.1411955435683538
Entity_Paraguay,0.14098205046247633
Code_PRY,0.14098205046247633
Entity_Democratic Republic of Congo,0.14061834086114652
Code_COD,0.14061834086114652
Code_ISL,0.1393527526381958
Entity_Iceland,0.1393527526381958
Code_NPL,0.1392283917223926
Entity_Nepal,0.1392283917223926
Code_BRA,0.13843393305115032
Entity_Brazil,0.13843393305115032
Code_TJK,0.1364559768457048
Entity_Tajikistan,0.1364559768457048
Code_ZMB,0.13309466202689837
Entity_Zambia,0.13309466202689837
Code_ETH,0.13178709094213567
Entity_Ethiopia,0.13178709094213567
Code_MOZ,0.12893716548284456
Entity_Mozambique,0.12893716548284456
Entity_Namibia,0.12638636686132593
Code_NAM,0.12638636686132593
Code_CAF,0.12170112501511923
Entity_Central African Republic,0.12170112501511923
Code_KGZ,0.12070357987023848
Entity_Kyrgyzstan,0.12070357987023848
Entity_Laos,0.12042068587355563
Code_LAO,0.12042068587355563
Code_BDI,0.1149074156645571
Entity_Burundi,0.1149074156645571
Code_COL,0.1134037632666454
Entity_Colombia,0.1134037632666454
Entity_Malawi,0.11213350855903043
Code_MWI,0.11213350855903043
Entity_South America,0.11137273438760258
Code_UGA,0.11009922772298725
Entity_Uganda,0.11009922772298725
Code_GEO,0.1079159917725833
Entity_Georgia,0.1079159917725833
Entity_Eastern Africa (BP),0.10787062899743949
Code_PER,0.10597972830340253
Entity_Peru,0.10597972830340253
Code_VEN,0.10157184045130295
Entity_Venezuela,0.10157184045130295
Code_ECU,0.09945074202939277
Entity_Ecuador,0.09945074202939277
Code_AFG,0.09786730844727304
Code_CMR,0.09718412298607103
Entity_Cameroon,0.09718412298607103
Entity_Austria,0.09456098205192051
Code_AUT,0.09456098205192051
Entity_South and Central America (BP),0.0945395276262591
Entity_Costa Rica,0.0937626503306408
Code_CRI,0.0937626503306408
Code_NZL,0.09032758255170391
Entity_New Zealand,0.09032758255170391
Entity_Canada,0.08578234087257192
Code_CAN,0.08578234087257192
Code_LKA,0.0822498198301097
Entity_Sri Lanka,0.0822498198301097
Code_AGO,0.0813602153991078
Entity_Angola,0.0813602153991078
Entity_North Korea,0.08062077787957712
Code_PRK,0.08062077787957712
Entity_Latvia,0.08029740356072564
Code_LVA,0.08029740356072564
Entity_Uruguay,0.07959096744837518
Code_URY,0.07959096744837518
Code_GRL,0.07889747932801762
Entity_Greenland,0.07889747932801762
Entity_Central America (BP),0.07493681392439465
Code_GHA,0.0720239287469991
Entity_Ghana,0.0720239287469991
Entity_Switzerland,0.07175490182120502
Code_CHE,0.07175490182120502
Entity_Congo,0.07058015222768281
Code_COG,0.07058015222768281
Code_PAN,0.0682616600272502
Entity_Panama,0.0682616600272502
Code_GUF,0.06794627189616799
Entity_French Guiana,0.06794627189616799
Code_GIN,0.06624081459925305
Entity_Guinea,0.06624081459925305
Code_CYP,0.06393338428882052
Entity_Cyprus,0.06393338428882052
Entity_Denmark,0.06375567541399711
Code_DNK,0.06375567541399711
Entity_Netherlands,0.06371853253529357
Code_NLD,0.06371853253529357
Code_EST,0.06359900537889994
Entity_Estonia,0.06359900537889994
Entity_Kuwait,0.06308196748788844
Code_KWT,0.06308196748788844
Code_QAT,0.06308196748788837
Entity_Qatar,0.06308196748788837
Code_ARE,0.06308196748788832
Entity_United Arab Emirates,0.06308196748788832
Code_TTO,0.06308196748788818
Entity_Trinidad and Tobago,0.06308196748788818
Code_SGP,0.06308196748788807
Entity_Singapore,0.06308196748788807
Code_OMN,0.06308196748788797
Entity_Oman,0.06308196748788797
Entity_Hong Kong,0.06308196748788787
Code_HKG,0.06308196748788787
Code_TKM,0.0630466301435928
Entity_Turkmenistan,0.0630466301435928
Code_ISR,0.06297183848137859
Entity_Israel,0.06297183848137859
Entity_Belgium,0.06288468099567612
Code_BEL,0.06288468099567612
Entity_Croatia,0.06252732797055906
Code_HRV,0.06252732797055906
Code_BLR,0.062460018082782356
Entity_Belarus,0.062460018082782356
Code_HUN,0.06245936323779954
Entity_Hungary,0.06245936323779954
Code_SAU,0.06221915310829658
Entity_Saudi Arabia,0.06221915310829658
Entity_South Africa,0.06140185927882007
Code_ZAF,0.06140185927882007
Entity_Algeria,0.060701958093176064
Code_DZA,0.060701958093176064
Entity_Poland,0.06059602678259559
Code_POL,0.06059602678259559
Code_MLT,0.0595573372982893
Entity_Malta,0.0595573372982893
Code_GBR,0.059518881311290295
Entity_United Kingdom,0.059518881311290295
Entity_South Korea,0.05926200385231612
Code_KOR,0.05926200385231612
Code_ZWE,0.05924776467991161
Entity_Zimbabwe,0.05924776467991161
Code_CZE,0.05742496002159663
Entity_Czechia,0.05742496002159663
Entity_Myanmar,0.056448836990929625
Code_MMR,0.056448836990929625
Code_CHL,0.05595024416058471
Entity_Chile,0.05595024416058471
Entity_Germany,0.05552872136664137
Code_DEU,0.05552872136664137
Code_RWA,0.055313155433905095
Entity_Rwanda,0.055313155433905095
Entity_Ireland,0.05491455644253099
Code_IRL,0.05491455644253099
Entity_Taiwan,0.054895665012810554
Code_TWN,0.054895665012810554
Entity_Middle East (BP),0.054386458044174246
Entity_Low-income countries,0.05421338838648605
Code_SDN,0.053045622270359374
Entity_Sudan,0.053045622270359374
Code_TZA,0.05158850799608058
Entity_Tanzania,0.05158850799608058
Code_FJI,0.05078970602810091
Entity_Fiji,0.05078970602810091
Entity_Vietnam,0.050449425481446625
Code_VNM,0.050449425481446625
Entity_Lithuania,0.050118986629226515
Code_LTU,0.050118986629226515
Entity_Montenegro,0.05002407776763345
Code_MNE,0.05002407776763345
Code_BGD,0.05001856504412092
Entity_Bangladesh,0.05001856504412092
Code_UKR,0.049664102889081914
Entity_Ukraine,0.049664102889081914
Entity_Mali,0.04897961113809749
Code_MLI,0.04897961113809749
Entity_Guam,0.048589601933370884
Code_GUM,0.048589601933370884
Entity_Tonga,0.048589601933370814
Code_TON,0.048589601933370814
Entity_Bahamas,0.04858960193337077
Code_BHS,0.04858960193337077
Entity_Solomon Islands,0.04858960193337076
Code_SLB,0.04858960193337076
Entity_Guinea-Bissau,0.04858960193337069
Code_GNB,0.04858960193337069
Entity_Montserrat,0.04858960193337063
Code_MSR,0.04858960193337063
Code_BWA,0.04858960193337062
Code_SOM,0.04858960193337062
Code_BHR,0.04858960193337062
Entity_Somalia,0.04858960193337062
Entity_Botswana,0.04858960193337062
Entity_Bahrain,0.04858960193337062
Entity_Grenada,0.048589601933370585
Code_GRD,0.048589601933370585
Entity_Seychelles,0.04858960193337055
Code_SYC,0.04858960193337055
Entity_Cape Verde,0.048589601933370544
Code_CPV,0.048589601933370544
Entity_Guyana,0.048589601933370544
Code_GUY,0.048589601933370544
Code_KNA,0.04858960193337052
Entity_Saint Kitts and Nevis,0.04858960193337052
Code_COM,0.04858960193337049
Entity_Comoros,0.04858960193337049
Code_NER,0.04858960193337048
Entity_Niger,0.04858960193337048
Entity_Aruba,0.04858960193337047
Code_GMB,0.048589601933370447
Entity_Gambia,0.048589601933370447
Entity_Eritrea,0.04858960193337043
Code_ERI,0.04858960193337043
Entity_Macao,0.04858960193337042
Code_MAC,0.04858960193337042
Entity_Barbados,0.04858960193337042
Code_BRB,0.04858960193337042
Entity_Cayman Islands,0.04858960193337039
Code_CYM,0.04858960193337039
Code_VGB,0.04858960193337039
Entity_British Virgin Islands,0.04858960193337039
Entity_Saint Lucia,0.04858960193337038
Code_LCA,0.04858960193337038
Entity_Vanuatu,0.04858960193337037
Code_VUT,0.04858960193337037
Code_COK,0.04858960193337032
Entity_Cook Islands,0.04858960193337032
Code_DJI,0.04858960193337032
Entity_American Samoa,0.04858960193337032
Code_ASM,0.04858960193337032
Entity_Djibouti,0.04858960193337032
Code_NRU,0.04858960193337031
Entity_Nauru,0.04858960193337031
Entity_Falkland Islands,0.04858960193337031
Code_FLK,0.04858960193337031
Code_VIR,0.048589601933370294
Entity_United States Virgin Islands,0.048589601933370294
Entity_Brunei,0.048589601933370245
Code_BRN,0.048589601933370245
Entity_Yemen,0.04858960193337024
Code_YEM,0.04858960193337024
Entity_Saint Pierre and Miquelon,0.04858960193337023
Code_SPM,0.04858960193337023
Entity_Chad,0.04858960193337022
Code_TCD,0.04858960193337022
Code_MDV,0.04858960193337018
Entity_Maldives,0.04858960193337018
Code_TCA,0.048589601933370176
Entity_Libya,0.048589601933370176
Entity_Turks and Caicos Islands,0.048589601933370176
Code_LBY,0.048589601933370176
Code_KIR,0.04858960193337015
Entity_Kiribati,0.04858960193337015
Code_ATG,0.04858960193337014
Entity_Antigua and Barbuda,0.04858960193337014
Code_BEN,0.04858960193337013
Entity_Benin,0.04858960193337013
Entity_Latin America and Caribbean (Ember),0.04843502024763318
Code_SWE,0.048121957285424045
Entity_Sweden,0.048121957285424045
Entity_Jordan,0.047865532467859
Code_JOR,0.047865532467859
Code_TUN,0.047656936344095076
Entity_Tunisia,0.047656936344095076
Entity_Puerto Rico,0.047650494530737775
Code_PRI,0.047650494530737775
Entity_Palestine,0.0474690120939108
Code_PSE,0.0474690120939108
Entity_Cuba,0.04742797507425857
Code_CUB,0.04742797507425857
Entity_Mongolia,0.047278732770975405
Code_MNG,0.047278732770975405
Code_MDG,0.04727711855950757
Entity_Madagascar,0.04727711855950757
Code_BGR,0.04644383898153074
Entity_Bulgaria,0.04644383898153074
Entity_Thailand,0.04637310667569845
Code_THA,0.04637310667569845
Code_GAB,0.04580853194571564
