,Correlation
Entity_G20 (Ember),0.3225979090284793
Entity_OECD (Ember),0.21136682818705665
Entity_World,0.2007691075504208
Code_OWID_WRL,0.2007691075504208
Year,0.16954947159611403
Entity_G7 (Ember),0.14090064960576687
Entity_OECD (BP),0.12465513801813975
Entity_High-income countries,0.12067831636768186
Entity_Europe (Ember),0.11599774115905868
Entity_European Union (27) (Ember),0.10354793851523153
Entity_Asia (Ember),0.09727094715165556
Entity_North America (Ember),0.07726669315777274
Entity_Europe (BP),0.06447860274751747
Entity_Non-OECD (BP),0.06287716816193381
Entity_Europe,0.061735810736879226
Entity_European Union (27),0.05776370370533897
Entity_Asia Pacific (BP),0.05554802147200437
Entity_Asia,0.05538187067057249
Entity_Upper-middle-income countries,0.05388395795282347
Entity_North America,0.04692571332054607
Entity_North America (BP),0.046436043079205305
Entity_China,0.03925887864052971
Code_CHN,0.03925887864052971
Entity_United States,0.03504956903653027
Code_USA,0.03504956903653027
Entity_Slovakia,0.01383560163707407
Code_SVK,0.01383560163707407
Entity_Cyprus,0.013795976669079713
Code_CYP,0.013795976669079713
Entity_Luxembourg,0.013793029357410688
Code_LUX,0.013793029357410688
Code_OMN,0.013717449614073512
Entity_Oman,0.013717449614073512
Entity_Malaysia,0.013717449614073502
Code_MYS,0.013717449614073502
Code_SAU,0.0137174496140735
Entity_Saudi Arabia,0.0137174496140735
Code_HKG,0.013717449614073476
Entity_Hong Kong,0.013717449614073476
Code_ARE,0.013717449614073436
Entity_United Arab Emirates,0.013717449614073436
Entity_Trinidad and Tobago,0.013717449614073429
Code_TTO,0.013717449614073429
Code_IRQ,0.013717449614073424
Entity_Iraq,0.013717449614073424
Code_SGP,0.013717449614073418
Entity_Singapore,0.013717449614073418
Entity_Qatar,0.013717449614073373
Code_QAT,0.013717449614073373
Code_ISL,0.013716358181138066
Entity_Iceland,0.013716358181138066
Code_DZA,0.013715798013853902
Entity_Algeria,0.013715798013853902
Entity_Kuwait,0.013713981253612492
Code_KWT,0.013713981253612492
Entity_Czechia,0.01371066837021579
Code_CZE,0.01371066837021579
Code_ECU,0.013705888412536834
Entity_Ecuador,0.013705888412536834
Entity_Venezuela,0.013703245852185561
Code_VEN,0.013703245852185561
Entity_Colombia,0.013703080692163676
Code_COL,0.013703080692163676
Code_ISR,0.013698621371570996
Entity_Israel,0.013698621371570996
Code_CHE,0.013694178566980497
Entity_Switzerland,0.013694178566980497
Code_IDN,0.013691189170583175
Entity_Indonesia,0.013691189170583175
Entity_Hungary,0.013684142565194771
Code_HUN,0.013684142565194771
Entity_Sri Lanka,0.013664045120975346
Code_LKA,0.013664045120975346
Entity_Vietnam,0.013623803881626888
Code_VNM,0.013623803881626888
Entity_Iran,0.01361149945999147
Code_IRN,0.01361149945999147
Code_PHL,0.013586808036709709
Entity_Philippines,0.013586808036709709
Entity_Peru,0.013556218749043922
Code_PER,0.013556218749043922
Entity_Bulgaria,0.013555770768055996
Code_BGR,0.013555770768055996
Entity_Thailand,0.013463598660333769
Code_THA,0.013463598660333769
Code_PAK,0.01343221825616291
Entity_Pakistan,0.01343221825616291
Code_TWN,0.013351289845406539
Entity_Taiwan,0.013351289845406539
Code_KOR,0.013328318745429474
Entity_South Korea,0.013328318745429474
Entity_New Zealand,0.013199067147956187
Code_NZL,0.013199067147956187
Entity_Chile,0.01317902794251101
Code_CHL,0.01317902794251101
Code_ARG,0.013164964038129707
Entity_Argentina,0.013164964038129707
Entity_Morocco,0.013148638498471817
Code_MAR,0.013148638498471817
Entity_Egypt,0.013144146145874705
Code_EGY,0.013144146145874705
Code_ZAF,0.013060277886727643
Entity_South Africa,0.013060277886727643
Code_BGD,0.012969672550426277
Entity_Bangladesh,0.012969672550426277
Code_FIN,0.012952063094521956
Entity_Finland,0.012952063094521956
Entity_Western Africa (BP),0.012932798287286622
Entity_Norway,0.01288223538306373
Code_NOR,0.01288223538306373
Entity_Eastern Africa (BP),0.012775457962434353
Entity_Middle East (BP),0.01275249923810181
Code_ROU,0.012694828281632924
Entity_Romania,0.012694828281632924
Entity_Austria,0.012612467294438023
Code_AUT,0.012612467294438023
Entity_Belgium,0.012371426321774766
Code_BEL,0.012371426321774766
Entity_Central America (BP),0.012363752060843659
Code_GRC,0.012343885331623327
Entity_Greece,0.012343885331623327
Entity_Japan,0.012224086041870289
Code_JPN,0.012224086041870289
Code_IRL,0.012116827715434084
Entity_Ireland,0.012116827715434084
Entity_Mexico,0.011788776941730264
Code_MEX,0.011788776941730264
Entity_Middle Africa (BP),0.011763731276349434
Entity_Africa,0.011610083720792785
Code_POL,0.011471693938996854
Entity_Poland,0.011471693938996854
Entity_Africa (BP),0.011468817470235626
Entity_Netherlands,0.011319874640135784
Code_NLD,0.011319874640135784
Entity_Portugal,0.01091299826422998
Code_PRT,0.01091299826422998
Entity_Australia,0.010853079353365259
Code_AUS,0.010853079353365259
Code_TUR,0.010818065428711398
Entity_Turkey,0.010818065428711398
Entity_Malta,0.010422912685200788
Code_MLT,0.010422912685200788
Entity_Slovenia,0.010421178595492785
Code_SVN,0.010421178595492785
Code_LVA,0.010378043114005326
Entity_Latvia,0.010378043114005326
Code_TKM,0.010263181191381702
Entity_Turkmenistan,0.010263181191381702
Code_UZB,0.010263181191381634
Entity_Uzbekistan,0.010263181191381634
Entity_Azerbaijan,0.010254156709266748
Code_AZE,0.010254156709266748
Code_MKD,0.01024579255511148
Entity_North Macedonia,0.01024579255511148
Code_BLR,0.010243371352592923
Entity_Belarus,0.010243371352592923
Entity_Estonia,0.010242350594351503
Code_EST,0.010242350594351503
