,Correlation
Entity_World,0.43555842100428743
Code_OWID_WRL,0.43555842100428743
Year,0.2884941428254862
Entity_High-income countries,0.24554273410863642
Entity_Asia Pacific (BP),0.14939019924009095
Entity_Asia,0.1493881256077135
Entity_Europe (BP),0.14531228903269272
Entity_Europe,0.14040968604331047
Entity_Upper-middle-income countries,0.1293030944934146
Code_CHN,0.10494004350213064
Entity_China,0.10494004350213064
Entity_North America,0.06222008910366851
Entity_North America (BP),0.061888228890901904
Entity_United States,0.04748614557723351
Code_USA,0.04748614557723351
Code_TUN,0.03975289031553971
Entity_Tunisia,0.03975289031553971
Entity_Iran,0.03974135884532448
Code_IRN,0.03974135884532448
Code_PHL,0.03966861921185386
Entity_Philippines,0.03966861921185386
Entity_Costa Rica,0.03963243770187411
Code_CRI,0.03963243770187411
Entity_Middle East (BP),0.03951034798879341
Code_PAK,0.039394227640181335
Entity_Pakistan,0.039394227640181335
Entity_Thailand,0.039354013865632136
Code_THA,0.039354013865632136
Code_BGR,0.03927855164712456
Entity_Bulgaria,0.03927855164712456
Entity_Taiwan,0.03921107548988677
Code_TWN,0.03921107548988677
Entity_Argentina,0.03917419809168744
Code_NZL,0.03914977119744406
Entity_New Zealand,0.03914977119744406
Entity_Uruguay,0.03912952261639266
Code_URY,0.03912952261639266
Entity_Morocco,0.03908726343531797
Code_MAR,0.03908726343531797
Code_EGY,0.038968553566399396
Entity_Egypt,0.038968553566399396
Entity_South Korea,0.03891138855482766
Code_KOR,0.03891138855482766
Code_CHL,0.03887709567692659
Entity_Chile,0.03887709567692659
Code_ZAF,0.038738983841225455
Entity_South Africa,0.038738983841225455
Entity_Finland,0.03856137549019675
Code_FIN,0.03856137549019675
Code_NOR,0.03821516525428107
Entity_Norway,0.03821516525428107
Entity_Romania,0.037503258863918754
Code_ROU,0.037503258863918754
Entity_Belgium,0.037315297673608507
Code_BEL,0.037315297673608507
Code_JOR,0.0372530251501085
Entity_Jordan,0.0372530251501085
Entity_Austria,0.03718600367471258
Code_AUT,0.03718600367471258
Entity_Russia,0.03717670248688492
Code_RUS,0.03717670248688492
Code_GRC,0.037006381449467225
Entity_Greece,0.037006381449467225
Entity_CIS (BP),0.03688839050899822
Code_IRL,0.03681034847194229
Entity_Ireland,0.03681034847194229
Code_UKR,0.03671362038747688
Entity_Ukraine,0.03671362038747688
Code_MEX,0.036326756562793446
Entity_Mexico,0.036326756562793446
Entity_Africa (BP),0.03618219608765722
Entity_Japan,0.036033710122317694
Code_JPN,0.036033710122317694
Code_POL,0.03545179321584413
Entity_Poland,0.03545179321584413
Entity_Netherlands,0.035017667515525173
Code_NLD,0.035017667515525173
Code_AUS,0.0348902727938867
Entity_Australia,0.0348902727938867
Entity_Turkey,0.03480249813616223
Code_TUR,0.03480249813616223
Code_PRT,0.03428879279133849
Entity_Portugal,0.03428879279133849
Entity_Oceania,0.03407544043103577
Entity_Sweden,0.03340523814020749
Code_SWE,0.03340523814020749
Code_DNK,0.032121432036950504
Entity_Denmark,0.032121432036950504
Code_BRA,0.0309550178972606
Entity_Brazil,0.0309550178972606
Entity_Italy,0.029611318471579114
Code_ITA,0.029611318471579114
Entity_Canada,0.029200673293009044
Code_CAN,0.029200673293009044
Entity_South America,0.02824202333686546
Code_FRA,0.027569180096615627
Entity_France,0.027569180096615627
Entity_South and Central America (BP),0.02658237600473183
Code_GBR,0.02295608346135342
Entity_United Kingdom,0.02295608346135342
Code_DEU,0.018915007551618224
Entity_Germany,0.018915007551618224
Entity_India,0.009422896549363567
Code_IND,0.009422896549363567
Code_ESP,0.009089312624138922
Entity_Spain,0.009089312624138922
Entity_Lower-middle-income countries,0.005553848130507545
