,Correlation
Year,0.37001805790128595
Entity_Denmark,0.32311684992727324
Code_DNK,0.32311684992727324
Entity_Portugal,0.1519270926223552
Code_PRT,0.1519270926223552
Code_IRL,0.13707795023187222
Entity_Ireland,0.13707795023187222
Code_ESP,0.1304901589142244
Entity_Spain,0.1304901589142244
Code_DEU,0.07944497014006713
Entity_Germany,0.07944497014006713
Entity_Sweden,0.06606388259993795
Code_SWE,0.06606388259993795
Entity_Greece,0.05066001224650409
Code_GRC,0.05066001224650409
Code_LTU,0.04980395703356924
Entity_Lithuania,0.04980395703356924
Entity_United Kingdom,0.04663961586537781
Code_GBR,0.04663961586537781
Entity_European Union (27),0.043104327536361564
Entity_Europe (BP),0.03398591936435762
Entity_Iraq,0.029565509670981028
Code_IRQ,0.029565509670981028
Entity_Saudi Arabia,0.02956550967098102
Code_SAU,0.02956550967098102
Code_TTO,0.029565509670981014
Entity_Trinidad and Tobago,0.029565509670981014
Entity_Malaysia,0.029565509670981007
Code_MYS,0.029565509670981007
Code_SGP,0.029565509670980997
Entity_Singapore,0.029565509670980997
Code_QAT,0.02956550967098098
Entity_Qatar,0.02956550967098098
Entity_United Arab Emirates,0.029563860921620763
Entity_Hong Kong,0.029551539246436564
Code_HKG,0.029551539246436564
Code_KWT,0.02954500096164037
Entity_Kuwait,0.02954500096164037
Entity_Algeria,0.029518486504317123
Code_DZA,0.029518486504317123
Entity_Oman,0.02939454605565307
Code_OMN,0.02939454605565307
Code_ISR,0.029389551497959673
Entity_Israel,0.029389551497959673
Code_SVK,0.0293870542923729
Entity_Slovakia,0.0293870542923729
Entity_Indonesia,0.029349575036189627
Code_IDN,0.029349575036189627
Code_VEN,0.02922619709338085
Entity_Venezuela,0.02922619709338085
Code_ISL,0.029225837766843548
Entity_Iceland,0.029225837766843548
Entity_Croatia,0.028895368871263347
Code_HRV,0.028895368871263347
Code_COL,0.028890061540506287
Entity_Colombia,0.028890061540506287
Code_IRN,0.028854684622768304
Entity_Iran,0.028854684622768304
Entity_Ecuador,0.028401361988285898
Code_ECU,0.028401361988285898
Code_CHE,0.02821028823054576
Entity_Switzerland,0.02821028823054576
Code_VNM,0.02795191565351968
Entity_Vietnam,0.02795191565351968
Code_BGD,0.027873938991183275
Entity_Bangladesh,0.027873938991183275
Entity_Middle East (BP),0.027518599670814617
Entity_South Korea,0.0273252009912276
Code_KOR,0.0273252009912276
Entity_Western Africa (BP),0.026834392167592425
Code_THA,0.026314999615223465
Entity_Thailand,0.026314999615223465
Entity_Middle Africa (BP),0.02527348748684414
Entity_Czechia,0.024875679575060476
Code_CZE,0.024875679575060476
Entity_Estonia,0.024794460511858858
Code_EST,0.024794460511858858
Code_PHL,0.0245476182798006
Entity_Philippines,0.0245476182798006
Code_JPN,0.02452929887129062
Entity_Japan,0.02452929887129062
Code_PAK,0.02446740814429263
Entity_Pakistan,0.02446740814429263
Entity_Taiwan,0.024252222462058742
Code_TWN,0.024252222462058742
Code_AUT,0.02306264516198806
Entity_Austria,0.02306264516198806
Code_TKM,0.022101294489008893
Entity_Turkmenistan,0.022101294489008893
Entity_Uzbekistan,0.022089134342465302
Code_UZB,0.022089134342465302
Entity_CIS (BP),0.022030814396241567
Entity_Eastern Africa (BP),0.021934745658037443
Code_RUS,0.021861537058158298
Entity_Russia,0.021861537058158298
Entity_Slovenia,0.021839338526022354
Code_SVN,0.021839338526022354
Entity_Africa (BP),0.021296077693313917
Entity_Azerbaijan,0.02109256186795969
Code_AZE,0.02109256186795969
Code_BLR,0.020865634026787958
Entity_Belarus,0.020865634026787958
Entity_Romania,0.020521775379313035
Code_ROU,0.020521775379313035
Entity_South Africa,0.020257062530692423
Code_ZAF,0.020257062530692423
Entity_Peru,0.019892644907411418
Code_PER,0.019892644907411418
Entity_Kazakhstan,0.019740674057808525
Code_KAZ,0.019740674057808525
Code_HUN,0.018955105474411833
Entity_Hungary,0.018955105474411833
Entity_Argentina,0.01861113308477071
