,Correlation
Entity_Denmark,0.3067530723349373
Code_DNK,0.3067530723349373
Entity_Falkland Islands,0.30153684965863753
Code_FLK,0.30153684965863753
Year,0.293168512335209
Code_LTU,0.1464815943025173
Entity_Lithuania,0.1464815943025173
Entity_Ireland,0.13379435485338376
Code_IRL,0.13379435485338376
Code_PRT,0.13096502569433008
Entity_Portugal,0.13096502569433008
Entity_Spain,0.11637801494803031
Code_ESP,0.11637801494803031
Entity_Cape Verde,0.10962891101726432
Code_CPV,0.10962891101726432
Code_URY,0.10308330419555466
Entity_Uruguay,0.10308330419555466
Entity_Aruba,0.09065846376969101
Code_FRO,0.0830145908771978
Entity_Faeroe Islands,0.0830145908771978
Entity_Germany,0.07931713848393725
Code_DEU,0.07931713848393725
Entity_Nicaragua,0.07867723973088818
Code_NIC,0.07867723973088818
Code_LUX,0.07522067309631389
Entity_Luxembourg,0.07522067309631389
Entity_European Union (27) (Ember),0.0678693996427145
Code_CRI,0.06629146461206396
Entity_Costa Rica,0.06629146461206396
Code_GRC,0.05202021981814554
Entity_Greece,0.05202021981814554
Entity_United Kingdom,0.049378884704770934
Code_GBR,0.049378884704770934
Entity_European Union (27),0.04469905902610006
Entity_Sweden,0.037947675050262676
Code_SWE,0.037947675050262676
Code_NLD,0.037330590403566545
Entity_Netherlands,0.037330590403566545
Entity_Europe (Ember),0.037056585177633355
Entity_Europe (BP),0.03067406008690768
Code_HRV,0.028812280738764295
Entity_Croatia,0.028812280738764295
Entity_OECD (Ember),0.027908537063112044
Entity_Romania,0.02773559345484323
Code_ROU,0.02773559345484323
Code_AUT,0.027483628893012854
Entity_Austria,0.027483628893012854
Entity_G7 (Ember),0.026094206459473124
Entity_Morocco,0.025959507753229288
Code_MAR,0.025959507753229288
Code_BEL,0.023474972987964682
Entity_Belgium,0.023474972987964682
Entity_Oceania (Ember),0.022914893652807047
Code_SVK,0.022561015228637286
Entity_Slovakia,0.022561015228637286
Entity_Malaysia,0.0224937227540872
Code_MYS,0.0224937227540872
Code_QAT,0.022493722754087193
Entity_Qatar,0.022493722754087193
Entity_Hong Kong,0.02249372275408719
Code_HKG,0.02249372275408719
Code_OMN,0.022493722754087186
Entity_Oman,0.022493722754087186
Code_SGP,0.022493722754087175
Entity_Singapore,0.022493722754087175
Entity_Iraq,0.02249372275408716
Code_IRQ,0.02249372275408716
Code_TTO,0.022493722754087127
Entity_Trinidad and Tobago,0.022493722754087127
Entity_Saudi Arabia,0.022493722754087092
Entity_United Arab Emirates,0.022493722754087092
Code_SAU,0.022493722754087092
Code_ARE,0.022493722754087092
Code_BGD,0.0224491337564162
Entity_Bangladesh,0.0224491337564162
Entity_Middle Africa (BP),0.022434448231047448
Entity_Algeria,0.022429547957448913
Code_DZA,0.022429547957448913
Entity_North America (Ember),0.022362323635875418
Entity_Kuwait,0.02235520887607907
Code_KWT,0.02235520887607907
Code_ISL,0.022337587349930847
Entity_Iceland,0.022337587349930847
Entity_Indonesia,0.02225352129945228
Code_IDN,0.02225352129945228
Code_VEN,0.02211392270450834
Entity_Venezuela,0.02211392270450834
Entity_Middle East (BP),0.021995906759679523
Code_COL,0.021872899880162874
Entity_Colombia,0.021872899880162874
Code_ISR,0.021734315494922166
Entity_Israel,0.021734315494922166
Code_CHE,0.0214812837503231
Entity_Switzerland,0.0214812837503231
Code_IRN,0.021466945540122073
