,Correlation
Entity_G20 (Ember),0.2459587147591261
Entity_World,0.15898348636491333
Code_OWID_WRL,0.15898348636491333
Entity_OECD (Ember),0.15712559169752424
Year,0.1492240931282852
Entity_Asia (Ember),0.12137546032320551
Entity_G7 (Ember),0.11485699761065551
Entity_OECD (BP),0.0922082858296669
Entity_High-income countries,0.09063540434993672
Entity_Asia Pacific (BP),0.07314833450729426
Entity_Asia,0.07271401200010481
Entity_Europe (Ember),0.07240785884702869
Entity_European Union (27) (Ember),0.07193309249464801
Entity_Non-OECD (BP),0.056772160785916695
Entity_Upper-middle-income countries,0.043383112073785465
Entity_European Union (27),0.03888913413155585
Entity_Europe (BP),0.037672689050720985
Entity_Europe,0.0369148485422768
Entity_North America (Ember),0.03628064048960118
Entity_China,0.033851929580671444
Code_CHN,0.033851929580671444
Entity_North America (BP),0.020586362781494852
Entity_North America,0.020397261086280878
Entity_United States,0.015021131219380786
Code_USA,0.015021131219380786
Entity_Ireland,0.010782954349734308
Code_IRL,0.010782954349734308
Entity_Finland,0.010752629555146524
Code_FIN,0.010752629555146524
Entity_Luxembourg,0.010741345910648754
Code_LUX,0.010741345910648754
Entity_Cyprus,0.010708552818827106
Code_CYP,0.010708552818827106
Code_ISL,0.010700159348023455
Entity_Iceland,0.010700159348023455
Entity_Trinidad and Tobago,0.010697669637526048
Code_TTO,0.010697669637526048
Entity_Venezuela,0.010697669637526044
Code_VEN,0.010697669637526044
Code_NOR,0.010697669637526032
Entity_Norway,0.010697669637526032
Code_HKG,0.010697313964597858
Entity_Hong Kong,0.010697313964597858
Entity_Qatar,0.010697313964597856
Code_QAT,0.010697313964597856
Code_KWT,0.010696602618741441
Entity_Kuwait,0.010696602618741441
Code_ECU,0.010689489160177397
Entity_Ecuador,0.010689489160177397
Code_OMN,0.010687710795536397
Entity_Oman,0.010687710795536397
Code_IDN,0.010677040607690333
Entity_Indonesia,0.010677040607690333
Code_NZL,0.010671705513767284
Entity_New Zealand,0.010671705513767284
Code_COL,0.010670282822054481
Entity_Colombia,0.010670282822054481
Code_SAU,0.010639339277300904
Entity_Saudi Arabia,0.010639339277300904
Code_IRQ,0.010635782548018877
Entity_Iraq,0.010635782548018877
Entity_Sri Lanka,0.010629024762383024
Code_LKA,0.010629024762383024
Entity_Iran,0.010624401014316411
Code_IRN,0.010624401014316411
Code_SGP,0.01061871024746518
Entity_Singapore,0.01061871024746518
Entity_Algeria,0.01057496247729631
Code_DZA,0.01057496247729631
Entity_Sweden,0.01056080759868428
Code_SWE,0.01056080759868428
Code_SVK,0.010555518390325942
Entity_Slovakia,0.010555518390325942
Code_ARG,0.010540816346795306
Entity_Argentina,0.010540816346795306
Entity_Peru,0.010533704417624882
Code_PER,0.010533704417624882
Code_MYS,0.01050347221872769
Entity_Malaysia,0.01050347221872769
Entity_Pakistan,0.01046505954248187
Code_PAK,0.01046505954248187
Code_MAR,0.01045296666292299
Entity_Morocco,0.01045296666292299
Code_DNK,0.01045149729261199
Entity_Denmark,0.01045149729261199
Code_PHL,0.010420600426456612
Entity_Philippines,0.010420600426456612
Entity_Hungary,0.010311509578061413
Code_HUN,0.010311509578061413
Entity_Portugal,0.010291727582625934
Code_PRT,0.010291727582625934
Entity_Bulgaria,0.010260733177821384
Code_BGR,0.010260733177821384
Entity_Poland,0.010256149197244175
Code_POL,0.010256149197244175
Entity_Austria,0.010221945649860285
Code_AUT,0.010221945649860285
Code_ROU,0.010213130302596407
Entity_Romania,0.010213130302596407
Entity_Switzerland,0.010133821344447257
Code_CHE,0.010133821344447257
Entity_Egypt,0.010073107975603141
Code_EGY,0.010073107975603141
Entity_Israel,0.010040741739136752
Code_ISR,0.010040741739136752
Code_ARE,0.010021179728085637
Entity_United Arab Emirates,0.010021179728085637
Code_BGD,0.010015203312251836
Entity_Bangladesh,0.010015203312251836
Entity_Western Africa (BP),0.009938654891120842
Entity_Eastern Africa (BP),0.009846665523736736
Code_CZE,0.009818907972955152
Entity_Czechia,0.009818907972955152
Code_TWN,0.009793193381108088
Entity_Taiwan,0.009793193381108088
Entity_Central America (BP),0.009633513455770773
Code_ZAF,0.009581923661756031
Entity_South Africa,0.009581923661756031
Code_THA,0.009522170609818107
Entity_Thailand,0.009522170609818107
Entity_Canada,0.009520527026472905
Code_CAN,0.009520527026472905
Entity_Mexico,0.009415611000528748
Code_MEX,0.009415611000528748
Entity_Brazil,0.009334019630799188
Code_BRA,0.009334019630799188
Entity_Chile,0.009328684536876146
Code_CHL,0.009328684536876146
Code_VNM,0.009204199012005409
Entity_Vietnam,0.009204199012005409
Code_BEL,0.009195839228343227
Entity_Belgium,0.009195839228343227
Code_GRC,0.009160930453178211
Entity_Greece,0.009160930453178211
Entity_Middle Africa (BP),0.009155121624355729
Code_TUR,0.009095718768903754
Entity_Turkey,0.009095718768903754
Entity_Netherlands,0.008917274254804266
Code_NLD,0.008917274254804266
Code_LVA,0.008129364340375044
Entity_Latvia,0.008129364340375044
Code_HRV,0.00809248738712105
Entity_Croatia,0.00809248738712105
Entity_Middle East (BP),0.00807299035278898
Code_EST,0.008071948324549261
Entity_Estonia,0.008071948324549261
Entity_Lithuania,0.008071481527672628
Code_LTU,0.008071481527672628
Code_MLT,0.00805561043386716
Entity_Malta,0.00805561043386716
Code_TKM,0.008005701214622352
Entity_Turkmenistan,0.008005701214622352
Code_UZB,0.008003331179269107
Entity_Uzbekistan,0.008003331179269107
Entity_Serbia,0.008001909158057144
Code_SRB,0.008001909158057144
Code_MKD,0.007998117101491904
Entity_North Macedonia,0.007998117101491904
Entity_Azerbaijan,0.007993377030785368
Code_AZE,0.007993377030785368
Entity_Slovenia,0.007973920980456522
Code_SVN,0.007973920980456522
Code_BLR,0.007965410613616712
Entity_Belarus,0.007965410613616712
Entity_Albania,0.007876756103752868
Code_ALB,0.007876756103752868
Code_KAZ,0.007707550767180668
Entity_Kazakhstan,0.007707550767180668
Code_RUS,0.007634079671229171
Entity_Russia,0.007634079671229171
Code_KOR,0.007567229582756547
Entity_South Korea,0.007567229582756547
Entity_CIS (BP),0.007561628042858611
Code_GBR,0.007548753497920625
Entity_United Kingdom,0.007548753497920625
Entity_Africa,0.007375756050480504
Entity_Africa (BP),0.007230476215782899
Entity_Japan,0.007111783478878783
Code_JPN,0.007111783478878783
Entity_Ukraine,0.0071031917520960304
Code_UKR,0.0071031917520960304
Code_DEU,0.007034272926152646
Entity_Germany,0.007034272926152646
Entity_Australia,0.0068374393107762405
Code_AUS,0.0068374393107762405
Entity_Oceania,0.006748876737426987
Entity_South America,0.006701421167850096
Code_FRA,0.006644677730173079
Entity_France,0.006644677730173079
Code_LSO,0.006634143563774667
Entity_Lesotho,0.006634143563774667
Code_STP,0.006634143563774613
Entity_Sao Tome and Principe,0.006634143563774613
Code_GRL,0.006634143563774609
Entity_Greenland,0.006634143563774609
Entity_Saint Helena,0.006634143563774609
Code_SHN,0.006634143563774609
Entity_Kiribati,0.006634143563774607
Code_KNA,0.006634143563774607
Entity_Saint Kitts and Nevis,0.006634143563774607
Code_KIR,0.006634143563774607
Entity_Gabon,0.006634143563774606
Code_PNG,0.006634143563774606
Code_GAB,0.006634143563774606
Entity_Papua New Guinea,0.006634143563774606
Entity_Grenada,0.0066341435637746055
Code_GNB,0.0066341435637746055
Code_LCA,0.0066341435637746055
Entity_Syria,0.0066341435637746055
Entity_Guinea-Bissau,0.0066341435637746055
Entity_Gambia,0.0066341435637746055
Code_GRD,0.0066341435637746055
Entity_Montserrat,0.0066341435637746055
Code_MSR,0.0066341435637746055
Code_GMB,0.0066341435637746055
Code_SYR,0.0066341435637746055
Entity_Saint Lucia,0.0066341435637746055
Code_VGB,0.006634143563774605
Entity_British Virgin Islands,0.006634143563774605
Code_VCT,0.006634143563774604
Code_BMU,0.006634143563774604
Code_FRO,0.006634143563774604
Entity_Bermuda,0.006634143563774604
Code_FLK,0.006634143563774604
Entity_Saint Vincent and the Grenadines,0.006634143563774604
Entity_Faeroe Islands,0.006634143563774604
Entity_Falkland Islands,0.006634143563774604
Code_CAF,0.006634143563774603
Entity_Brunei,0.006634143563774603
Code_PRY,0.006634143563774603
Entity_Central African Republic,0.006634143563774603
Entity_Djibouti,0.006634143563774603
Code_DJI,0.006634143563774603
Entity_Paraguay,0.006634143563774603
Code_BRN,0.006634143563774603
Code_MAC,0.006634143563774603
Entity_Macao,0.006634143563774603
Entity_Bhutan,0.006634143563774602
Code_BTN,0.006634143563774602
Code_BHS,0.006634143563774601
Code_GEO,0.006634143563774601
Code_NRU,0.006634143563774601
Entity_Saint Pierre and Miquelon,0.006634143563774601
Code_SPM,0.006634143563774601
Entity_Bahamas,0.006634143563774601
Entity_Martinique,0.006634143563774601
Entity_Haiti,0.006634143563774601
Code_HTI,0.006634143563774601
Entity_Georgia,0.006634143563774601
Entity_Nauru,0.006634143563774601
Code_MTQ,0.006634143563774601
Code_COM,0.0066341435637746
Entity_Tajikistan,0.0066341435637746
Code_SLB,0.0066341435637746
Entity_Chad,0.0066341435637746
Code_TCD,0.0066341435637746
Code_TJK,0.0066341435637746
Entity_Solomon Islands,0.0066341435637746
Entity_Comoros,0.0066341435637746
Entity_Dominica,0.006634143563774599
Entity_American Samoa,0.006634143563774599
Code_LBR,0.006634143563774599
Entity_Gibraltar,0.006634143563774599
Code_GIB,0.006634143563774599
Code_DMA,0.006634143563774599
Code_ASM,0.006634143563774599
Entity_Liberia,0.006634143563774599
Code_COG,0.0066341435637745985
Entity_Congo,0.0066341435637745985
Code_KGZ,0.006634143563774598
Entity_Kyrgyzstan,0.006634143563774598
Entity_Turks and Caicos Islands,0.006634143563774598
Code_TCA,0.006634143563774598
Code_ESH,0.006634143563774596
Entity_Western Sahara,0.006634143563774596
Code_GNQ,0.00663414356377459
Entity_Equatorial Guinea,0.00663414356377459
Entity_Eswatini,0.006634143563774583
Code_SWZ,0.006634143563774583
Entity_Niue,0.006634143563774572
Code_NIU,0.006634143563774572
Entity_Moldova,0.006633572219860809
Code_MDA,0.006633572219860809
Entity_Belize,0.006632429532033207
Entity_Benin,0.006632429532033207
Code_BLZ,0.006632429532033207
Code_BEN,0.006632429532033207
Entity_Botswana,0.006631858188119411
Code_BWA,0.006631858188119411
Code_VUT,0.006631858188119406
Entity_Vanuatu,0.006631858188119406
Code_GUY,0.006631858188119401
Entity_Guyana,0.006631858188119401
Entity_Tonga,0.006631286844205611
Entity_Togo,0.006631286844205611
Code_TON,0.006631286844205611
Code_TGO,0.006631286844205611
Entity_Sierra Leone,0.006631286844205607
Code_SLE,0.006631286844205607
Code_COD,0.006631286844205601
Entity_Democratic Republic of Congo,0.006631286844205601
Entity_Cote d'Ivoire,0.0066312868442056
Code_CIV,0.0066312868442056
Code_ERI,0.0066312868442055875
Entity_Eritrea,0.0066312868442055875
Entity_Fiji,0.006630715500291802
Code_FJI,0.006630715500291802
Code_BDI,0.006630715500291799
Entity_Burundi,0.006630715500291799
Entity_Cook Islands,0.0066301441563779975
Code_COK,0.0066301441563779975
Code_CYM,0.006629572812464207
Entity_Cayman Islands,0.006629572812464207
Entity_Suriname,0.006629572812464205
Code_SUR,0.006629572812464205
Code_BHR,0.0066295728124642
Entity_Bahrain,0.0066295728124642
Code_ATG,0.006629572812464194
Entity_Antigua and Barbuda,0.006629572812464194
Entity_Aruba,0.00662957281246419
Entity_United States Virgin Islands,0.006629001468550403
Code_VIR,0.006629001468550403
Entity_Somalia,0.006629001468550397
Code_SOM,0.006629001468550397
Entity_Mozambique,0.0066284301246365964
Code_MOZ,0.0066284301246365964
Code_CPV,0.006627858780722805
Entity_Cape Verde,0.006627858780722805
Code_PRK,0.006627858780722784
Entity_North Korea,0.006627858780722784
Entity_Libya,0.006627287436808997
Code_LBY,0.006627287436808997
Code_WSM,0.006626716092895214
Entity_Samoa,0.006626716092895214
Entity_Cameroon,0.0066267160928952015
Code_CMR,0.0066267160928952015
Entity_Nicaragua,0.00662671609289517
Code_NIC,0.00662671609289517
Entity_Guinea,0.006626144748981406
Code_GIN,0.006626144748981406
Entity_Zimbabwe,0.006625573405067598
Code_ZWE,0.006625573405067598
Code_LAO,0.006625573405067595
Entity_Laos,0.006625573405067595
Code_MDG,0.006625002061153802
Entity_Madagascar,0.006625002061153802
Code_SYC,0.006624430717240002
Entity_Seychelles,0.006624430717240002
Code_SDN,0.006623859373326199
Entity_Sudan,0.006623859373326199
Entity_Maldives,0.006622716685498595
Code_MDV,0.006622716685498595
Code_AGO,0.0066227166854985935
Entity_Angola,0.0066227166854985935
Code_ETH,0.006622716685498582
Entity_Ethiopia,0.006622716685498582
Entity_Bosnia and Herzegovina,0.006621002653757193
Code_BIH,0.006621002653757193
Entity_Ghana,0.006619288622015793
Code_GHA,0.006619288622015793
Entity_Niger,0.006619288622015765
Code_NER,0.006619288622015765
Code_BRB,0.006617574590274402
Entity_Barbados,0.006617574590274402
Code_ARM,0.006616431902446782
Entity_Armenia,0.006616431902446782
Entity_Nigeria,0.006616431902446766
Code_NGA,0.006616431902446766
Entity_Rwanda,0.0066152892146192025
Code_RWA,0.0066152892146192025
Code_MLI,0.006615289214619193
Entity_Mali,0.006615289214619193
Code_PYF,0.006614717870705389
Entity_French Polynesia,0.006614717870705389
Entity_Tanzania,0.0066135751828777884
Code_TZA,0.0066135751828777884
Code_ZMB,0.0066101471193949855
Entity_Zambia,0.0066101471193949855
Entity_Costa Rica,0.0066095757754811866
Code_CRI,0.0066095757754811866
Code_AFG,0.006609575775481183
Code_GUM,0.00660843308765359
Entity_Guam,0.00660843308765359
Entity_Jamaica,0.006606719055912181
Code_JAM,0.006606719055912181
Entity_Myanmar,0.006605576368084585
Code_MMR,0.006605576368084585
Entity_Mongolia,0.006604433680256992
Code_MNG,0.006604433680256992
Entity_Burkina Faso,0.006603862336343182
Code_BFA,0.006603862336343182
Code_NCL,0.006602719648515587
Entity_New Caledonia,0.006602719648515587
Entity_Lebanon,0.006601576960687983
Code_LBN,0.006601576960687983
Entity_Nepal,0.006601005616774184
Code_NPL,0.006601005616774184
Code_MUS,0.0065987202411189804
Entity_Mauritius,0.0065987202411189804
Code_KEN,0.0065970062093775855
Entity_Kenya,0.0065970062093775855
Entity_Palestine,0.006596434865463784
Code_PSE,0.006596434865463784
Code_MWI,0.00659414948980858
Entity_Malawi,0.00659414948980858
Entity_Mauritania,0.006590150082411976
Code_MRT,0.006590150082411976
Entity_Uganda,0.006589578738498171
Code_UGA,0.006589578738498171
Entity_Cambodia,0.006579865891963569
Code_KHM,0.006579865891963569
Entity_Bolivia,0.006568439013687557
Code_BOL,0.006568439013687557
Entity_Puerto Rico,0.006558154823239152
Code_PRI,0.006558154823239152
Entity_Guatemala,0.006551870040187352
Code_GTM,0.006551870040187352
Entity_Cuba,0.006551298696273553
Code_CUB,0.006551298696273553
Code_TUN,0.006547299288876949
Entity_Tunisia,0.006547299288876949
Entity_Senegal,0.006546156601049353
Code_SEN,0.006546156601049353
Entity_Namibia,0.006541585849738942
Code_NAM,0.006541585849738942
Entity_Panama,0.006539300474083746
Code_PAN,0.006539300474083746
Entity_Dominican Republic,0.006529587627549131
Code_DOM,0.006529587627549131
Code_URY,0.006506162527083323
Entity_Uruguay,0.006506162527083323
Code_YEM,0.006489593553583104
Entity_Yemen,0.006489593553583104
Code_OWID_KOS,0.006480070465088383
Entity_Kosovo,0.006480070465088383
Entity_El Salvador,0.006455884262668877
Code_SLV,0.006455884262668877
Entity_Honduras,0.006249629109786946
Code_HND,0.006249629109786946
Entity_Low-income countries,0.006224489974323058
Entity_Timor,0.006164177317204747
Code_TLS,0.006164177317204747
Entity_Jordan,0.005991381660749154
Code_JOR,0.005991381660749154
Entity_South and Central America (BP),0.005884413882724765
Entity_Montenegro,0.005830055145636199
Code_MNE,0.005830055145636199
Entity_French Guiana,0.004893720989776555
Code_GUF,0.004893720989776555
Code_GLP,0.004892947832675564
Entity_Guadeloupe,0.004892947832675564
Code_REU,0.0048782578477550905
Entity_Reunion,0.0048782578477550905
Entity_South Sudan,0.004466255942962463
Code_SSD,0.004466255942962463
Entity_Lower-middle-income countries,0.0032914890023135897
Entity_Spain,0.003206125977978759
Code_ESP,0.003206125977978759
Entity_Africa (Ember),0.0024661897126006457
Entity_Latin America and Caribbean (Ember),0.0017263319268666962
Entity_India,0.0014183317955666342
Code_IND,0.0014183317955666342
Code_OWID_USS,0.0014126925459320896
Entity_USSR,0.0014126925459320896
Entity_Italy,0.001269007733523356
Code_ITA,0.001269007733523356
Entity_Oceania (Ember),0.0002985109036419302
