,Correlation
Entity_World,0.337390836695019
Code_OWID_WRL,0.337390836695019
Year,0.2801970979988852
Entity_High-income countries,0.1803350965069526
Entity_Asia Pacific (BP),0.1649489738165796
Entity_Asia,0.16250409271995683
Entity_Upper-middle-income countries,0.09774240869353931
Entity_Europe (BP),0.08787875117603915
Entity_Europe,0.08567155319981935
Code_CHN,0.08245540752639943
Entity_China,0.08245540752639943
Entity_Morocco,0.028364587374028558
Code_MAR,0.028364587374028558
Code_DZA,0.02824887704991981
Entity_Algeria,0.02824887704991981
Entity_Argentina,0.028234850566586287
Code_ARG,0.028234850566586287
Code_HND,0.028159652143611907
Entity_Honduras,0.028159652143611907
Entity_Sweden,0.028055963657530193
Code_SWE,0.028055963657530193
Entity_Pakistan,0.02799313880832951
Code_PAK,0.02799313880832951
Code_RUS,0.027990796269550866
Entity_Russia,0.027990796269550866
Entity_Jordan,0.027966500060717842
Code_JOR,0.027966500060717842
Code_SVK,0.027941977850132322
Entity_Slovakia,0.027941977850132322
Entity_Egypt,0.02792786227933925
Code_EGY,0.02792786227933925
Code_MYS,0.027917977564285188
Entity_Malaysia,0.027917977564285188
Entity_Philippines,0.02790463591861424
Code_PHL,0.02790463591861424
Code_HUN,0.027811949201400572
Entity_Hungary,0.027811949201400572
Entity_Portugal,0.02779495576847795
Code_PRT,0.02779495576847795
Entity_United Arab Emirates,0.02778746798524356
Entity_Denmark,0.027651733834864856
Code_DNK,0.027651733834864856
Code_BGR,0.02750922548825369
Entity_Bulgaria,0.02750922548825369
Code_ROU,0.027417388296277306
Entity_Romania,0.027417388296277306
Entity_Israel,0.027412661691895976
Code_ISR,0.027412661691895976
Entity_CIS (BP),0.02728271858132246
Code_AUT,0.027266373516993216
Entity_Austria,0.027266373516993216
Entity_Chile,0.0270294398279852
Code_CHL,0.0270294398279852
Code_CHE,0.026770249713532528
Entity_Switzerland,0.026770249713532528
Code_POL,0.02672781265467673
Entity_Poland,0.02672781265467673
Entity_Thailand,0.026569084195899307
Code_THA,0.026569084195899307
Entity_Mexico,0.026521046356542635
Code_MEX,0.026521046356542635
Code_CZE,0.0262472569902785
Entity_Czechia,0.0262472569902785
Entity_Taiwan,0.02617217640410334
Code_TWN,0.02617217640410334
Entity_Canada,0.026108000690873646
Code_CAN,0.026108000690873646
Code_GRC,0.02599885843733118
Entity_Greece,0.02599885843733118
Code_ZAF,0.025996565854966562
Entity_South Africa,0.025996565854966562
Entity_Ukraine,0.025933332836130335
Code_UKR,0.025933332836130335
Entity_Brazil,0.025848381643373494
Code_BRA,0.025848381643373494
Entity_Turkey,0.025783596958793998
Code_TUR,0.025783596958793998
Entity_Middle East (BP),0.025764293906860972
Entity_Belgium,0.024651740163197988
Code_BEL,0.024651740163197988
Code_NLD,0.024355637937600243
Entity_Netherlands,0.024355637937600243
Entity_South America,0.024195869694274504
Entity_Africa (BP),0.024138745801154802
Entity_Vietnam,0.022438720817065425
Code_VNM,0.022438720817065425
Entity_South and Central America (BP),0.022334538337024857
Code_KOR,0.02187272917737307
Entity_South Korea,0.02187272917737307
Entity_Spain,0.021238074285471278
Code_ESP,0.021238074285471278
Code_FRA,0.020396191048392832
Entity_France,0.020396191048392832
Entity_Oceania,0.01993652903849017
Entity_Australia,0.01993652903849006
Code_AUS,0.01993652903849006
Entity_United Kingdom,0.01964932854898446
Code_GBR,0.01964932854898446
Code_DEU,0.016719500026363833
Entity_Germany,0.016719500026363833
Entity_North America,0.013631707732406356
Entity_North America (BP),0.013333005823821274
Entity_Japan,0.011899460291302788
Code_JPN,0.011899460291302788
Code_IND,0.01160384388622856
Entity_India,0.01160384388622856
Entity_Italy,0.00932844528569169
Code_ITA,0.00932844528569169
Entity_United States,0.00904520243454236
Code_USA,0.00904520243454236
Entity_Lower-middle-income countries,0.003512821245669741
