,Correlation
Year,0.3934285757872807
Entity_Italy,0.10741634814662075
Code_ITA,0.10741634814662075
Entity_Greece,0.10512506595746332
Code_GRC,0.10512506595746332
Code_DEU,0.09252970939161298
Entity_Germany,0.09252970939161298
Entity_Spain,0.08832903442609637
Code_ESP,0.08832903442609637
Entity_Japan,0.06848655214773755
Code_JPN,0.06848655214773755
Code_CHL,0.05473325868951838
Entity_Chile,0.05473325868951838
Code_AUS,0.049703415196104904
Entity_Australia,0.049703415196104904
Code_ISR,0.045453067421822896
Entity_Israel,0.045453067421822896
Entity_European Union (27),0.042846669615236935
Entity_Oceania,0.0397684285980255
Entity_Bulgaria,0.036706881731784456
Code_BGR,0.036706881731784456
Code_CYP,0.031670563498489554
Entity_Cyprus,0.031670563498489554
Entity_Europe (BP),0.03090073802752085
Entity_Iceland,0.028091935921916104
Code_ISL,0.028091935921916104
Code_VEN,0.028035179891645154
Entity_Venezuela,0.028035179891645154
Entity_Qatar,0.027963324876556506
Code_QAT,0.027963324876556506
Code_HKG,0.027908354507211842
Entity_Hong Kong,0.027908354507211842
Entity_Indonesia,0.0278073460307137
Code_IDN,0.0278073460307137
Entity_Trinidad and Tobago,0.027708211167690337
Code_TTO,0.027708211167690337
Entity_Saudi Arabia,0.027526630607165092
Code_SAU,0.027526630607165092
Code_IRN,0.027443082777544113
Entity_Iran,0.027443082777544113
Entity_Kuwait,0.027360123520227028
Code_KWT,0.027360123520227028
Code_IRL,0.026903492385882563
Entity_Ireland,0.026903492385882563
Code_NOR,0.026816849031161875
Entity_Norway,0.026816849031161875
Entity_Oman,0.02673853032508001
Code_OMN,0.02673853032508001
Entity_Colombia,0.02671259149229615
Code_COL,0.02671259149229615
Entity_Singapore,0.026697368932222677
Code_SGP,0.026697368932222677
Code_SVN,0.026137501858057747
Entity_Slovenia,0.026137501858057747
Code_ECU,0.026022104255128933
Entity_Ecuador,0.026022104255128933
Code_BEL,0.025806649844980382
Entity_Belgium,0.025806649844980382
Entity_Finland,0.025253284175730913
Code_FIN,0.025253284175730913
Code_IRQ,0.024976707951419937
Entity_Iraq,0.024976707951419937
Code_NZL,0.024791489951896263
Entity_New Zealand,0.024791489951896263
Entity_Czechia,0.024702169815249874
Code_CZE,0.024702169815249874
Code_MYS,0.023340384936697378
Entity_Malaysia,0.023340384936697378
Entity_Argentina,0.023217690694601868
Code_ARG,0.023217690694601868
Code_DZA,0.022699080394911572
Entity_Algeria,0.022699080394911572
Code_CHE,0.022514021770863604
