,Correlation
Year,0.35255704909705204
Entity_Cook Islands,0.182357366831719
Code_COK,0.182357366831719
Code_NAM,0.11681835807897374
Entity_Namibia,0.11681835807897374
Entity_Palestine,0.10982141363586692
Code_PSE,0.10982141363586692
Code_LUX,0.09574219262490397
Entity_Luxembourg,0.09574219262490397
Entity_Samoa,0.09542208912097348
Code_WSM,0.09542208912097348
Code_TON,0.07597038046162627
Entity_Tonga,0.07597038046162627
Code_YEM,0.07520339084518175
Entity_Yemen,0.07520339084518175
Entity_Malta,0.07335631176777614
Code_MLT,0.07335631176777614
Code_ITA,0.07067846353431487
Entity_Italy,0.07067846353431487
Entity_Honduras,0.06582247589168307
Code_HND,0.06582247589168307
Code_GRC,0.06420147137999961
Entity_Greece,0.06420147137999961
Entity_Germany,0.05937536620225244
Code_DEU,0.05937536620225244
Entity_Vanuatu,0.05689093308796398
Code_VUT,0.05689093308796398
Code_JOR,0.05490040379524818
Entity_Jordan,0.05490040379524818
Entity_Spain,0.05428885293224063
Code_ESP,0.05428885293224063
Entity_French Polynesia,0.05370380893097405
Code_PYF,0.05370380893097405
Entity_Niger,0.05205179177609432
Code_NER,0.05205179177609432
Code_SLV,0.048662753130570675
Entity_El Salvador,0.048662753130570675
Entity_Mauritania,0.046641987442396435
Code_MRT,0.046641987442396435
Entity_European Union (27) (Ember),0.04500157457690349
Code_AFG,0.03866297776048683
Entity_Malawi,0.03678714908523335
Code_MWI,0.03678714908523335
Entity_Rwanda,0.035592281287463064
Code_RWA,0.035592281287463064
Entity_Oceania (Ember),0.030790097538408976
Entity_Belgium,0.030573840838492693
Code_BEL,0.030573840838492693
Code_JPN,0.028678738717454643
Entity_Japan,0.028678738717454643
Entity_Burkina Faso,0.028131866499406497
Code_BFA,0.028131866499406497
Code_CHL,0.027967529888777154
Entity_Chile,0.027967529888777154
Entity_European Union (27),0.026559239629499652
Entity_Cyprus,0.025577764146647298
Code_CYP,0.025577764146647298
Code_MDV,0.024767715999974554
Entity_Maldives,0.024767715999974554
Code_SEN,0.022497734828105395
Entity_Senegal,0.022497734828105395
Code_AUS,0.02237903315397141
Entity_Australia,0.02237903315397141
Entity_Netherlands,0.022002923377318587
Code_NLD,0.022002923377318587
Code_ISL,0.021258077917754338
Entity_Iceland,0.021258077917754338
Code_NOR,0.021211684572498207
Entity_Norway,0.021211684572498207
Code_VEN,0.021187498834843933
Entity_Venezuela,0.021187498834843933
Code_KWT,0.021114714609326988
Entity_Kuwait,0.021114714609326988
Entity_Qatar,0.021071856646089817
Code_QAT,0.021071856646089817
Code_IDN,0.021036502541449356
Entity_Indonesia,0.021036502541449356
Entity_Hong Kong,0.02102805672796717
Code_HKG,0.02102805672796717
Code_SAU,0.020763454414188073
Entity_Saudi Arabia,0.020763454414188073
Code_IRN,0.020627734686104272
Entity_Iran,0.020627734686104272
Entity_Ireland,0.02056974990468415
Code_IRL,0.02056974990468415
Entity_Trinidad and Tobago,0.020461038108756074
Code_TTO,0.020461038108756074
Code_OMN,0.020281276386136367
Entity_Oman,0.020281276386136367
Entity_Ecuador,0.02021986196406287
Code_ECU,0.02021986196406287
Code_COL,0.02011144301103665
