,Correlation
Entity_World,0.5158850045051357
Code_OWID_WRL,0.5158850045051357
Year,0.3052517980468958
Entity_OECD (BP),0.26921164952660526
Entity_Non-OECD (BP),0.17521249035158803
Entity_North America (BP),0.16799601479643894
Code_USA,0.1607503525201264
Entity_United States,0.1607503525201264
Entity_South and Central America (BP),0.11621378598923153
Code_BRA,0.09519251631943693
Entity_Brazil,0.09519251631943693
Entity_Mexico,0.07146086664114375
Code_MEX,0.07146086664114375
Code_AUS,0.07019496821945023
Entity_Australia,0.07019496821945023
Entity_Finland,0.0696712023609463
Code_FIN,0.0696712023609463
Entity_Sweden,0.06949910065350404
Code_SWE,0.06949910065350404
Code_PRT,0.06949510439989677
Entity_Portugal,0.06949510439989677
Entity_Belgium,0.06898505491263406
Code_BEL,0.06898505491263406
Code_AUT,0.06876864347387654
Entity_Austria,0.06876864347387654
Code_KOR,0.06845293229370197
Entity_South Korea,0.06845293229370197
Entity_United Kingdom,0.068359625037313
Code_GBR,0.068359625037313
Code_COL,0.0675600695720587
Entity_Colombia,0.0675600695720587
Entity_India,0.06725782712508302
Code_IND,0.06725782712508302
Code_ITA,0.0667924293155866
Entity_Italy,0.0667924293155866
Entity_Poland,0.0666202927221819
Code_POL,0.0666202927221819
Code_CAN,0.06421520564246637
Entity_Canada,0.06421520564246637
Code_ESP,0.06274578849261409
Entity_Spain,0.06274578849261409
Entity_Netherlands,0.06256169783896455
Code_NLD,0.06256169783896455
Entity_Thailand,0.061140259051358
Code_THA,0.061140259051358
Entity_Argentina,0.05795680419195601
Entity_Middle East (BP),0.05605374661675239
Code_CHN,0.05502017443364871
Entity_China,0.05502017443364871
Entity_France,0.05334331065670743
Code_FRA,0.05334331065670743
Code_IDN,0.05214548893690175
Entity_Indonesia,0.05214548893690175
Entity_CIS (BP),0.04835563326472826
Entity_Germany,0.047175681964289416
Code_DEU,0.047175681964289416
Entity_Europe (BP),0.023099061986530726
Entity_European Union (27),0.0189577785494124
Entity_Asia Pacific (BP),0.018440150360066892
