,Correlation
Entity_World,0.8010394137275239
Code_OWID_WRL,0.8010394137275239
Entity_Asia Pacific,0.2923913256048902
Entity_North America,0.2220770863537237
Code_USA,0.1406564989351385
Entity_United States,0.1406564989351385
Entity_Croatia,0.08346158902053283
Code_HRV,0.08346158902053283
Entity_Other Europe,0.08345013746667714
Code_HND,0.08301126920694386
Entity_Honduras,0.08301126920694386
Entity_Chile,0.08298085286865749
Code_ETH,0.08297571764271285
Entity_Ethiopia,0.08297571764271285
Code_FRA,0.08291603051654318
Entity_France,0.08291603051654318
Entity_Other South & Central America,0.08253171810720955
Entity_Germany,0.08236107059890212
Code_DEU,0.08236107059890212
Code_PRT,0.08167097523544549
Entity_Portugal,0.08167097523544549
Code_CHN,0.08135910901366593
Entity_China,0.08135910901366593
Entity_Papua New Guinea,0.08015134337327234
Code_PNG,0.08015134337327234
Code_GTM,0.0798290091909137
Entity_Guatemala,0.0798290091909137
Code_PHL,0.07972641107657484
Entity_Philippines,0.07972641107657484
Entity_Russia,0.07753237814160885
Code_RUS,0.07753237814160885
Year,0.07582759640540326
Code_NIC,0.07412045502064808
Entity_Nicaragua,0.07412045502064808
Entity_CIS,0.07349234566440903
Code_CRI,0.06760519635624984
Entity_Costa Rica,0.06760519635624984
Entity_El Salvador,0.06715053135147692
Code_SLV,0.06715053135147692
Entity_Europe,0.05971360208442776
Entity_Kenya,0.057903569495065546
Code_KEN,0.057903569495065546
Entity_Turkey,0.0508019470312883
Code_TUR,0.0508019470312883
Code_ISL,0.04049791866508367
Entity_Iceland,0.04049791866508367
Entity_Japan,0.03766208889161288
Code_JPN,0.03766208889161288
Entity_South & Central America,0.03574846669428704
Code_IDN,0.028109322359196248
Entity_Indonesia,0.028109322359196248
Entity_New Zealand,0.025713998188427203
Code_NZL,0.025713998188427203
Code_ITA,0.020187389023547143
Entity_Italy,0.020187389023547143
Entity_Mexico,0.002159506816051372
Code_MEX,0.002159506816051372
