,Correlation
STATE_US-TOTAL,0.3174107659125737
ENERGY SOURCE_Total,0.12828894291494575
TYPE OF PRODUCER_Total Electric Power Industry,0.06668112205656003
"TYPE OF PRODUCER_Combined Heat and Power, Industrial Power",0.04927216530184977
ENERGY SOURCE_Petroleum,0.04682324374745746
ENERGY SOURCE_Nuclear,0.04591872887439674
ENERGY SOURCE_Other Biomass,0.04032449366312591
"TYPE OF PRODUCER_Electric Generators, Electric Utilities",0.035442510726043305
ENERGY SOURCE_Other,0.03543477664300452
"TYPE OF PRODUCER_Combined Heat and Power, Electric Power",0.03320608375965709
ENERGY SOURCE_Wood and Wood Derived Fuels,0.03048138369774683
STATE_TX,0.024311969490145094
ENERGY SOURCE_Other Gases,0.024141831296527957
ENERGY SOURCE_Solar Thermal and Photovoltaic,0.02390832972236757
ENERGY SOURCE_Hydroelectric Conventional,0.021471668427357062
ENERGY SOURCE_Wind,0.019426424761951378
ENERGY SOURCE_Pumped Storage,0.019355960265493372
STATE_ME,0.01709265076608186
STATE_HI,0.01638039324928868
STATE_MA,0.01582258706936798
STATE_MN,0.015036855776195244
STATE_ID,0.014551268612102465
STATE_NH,0.014417263699851345
STATE_MD,0.014349851128383419
STATE_CT,0.014156959227755393
STATE_DE,0.014110200875842754
STATE_WI,0.014060159921616388
STATE_VT,0.01382851514735872
STATE_CO,0.013358725165627456
STATE_UT,0.01292758087081239
STATE_NJ,0.012504542147401357
STATE_MT,0.012338381834666243
STATE_RI,0.012249232206911903
STATE_IA,0.012014277565003265
STATE_VA,0.011719822283209058
STATE_NV,0.011628067681845213
STATE_OR,0.011563499641901022
STATE_SD,0.01150490015850845
STATE_MI,0.011388795085731575
STATE_NE,0.011235997069766867
STATE_NM,0.010938235687638406
STATE_AR,0.010933947267533932
Unnamed: 0,0.009699070896383614
STATE_ND,0.009602844368277071
ENERGY SOURCE_Geothermal,0.009329531059644295
STATE_MO,0.008907927337779908
STATE_TN,0.008631005224332298
STATE_WA,0.008572070605572855
STATE_OK,0.008555213811812408
STATE_SC,0.008329511058748
STATE_MS,0.008238667305691753
STATE_WY,0.008069544147503558
STATE_NC,0.007683199827049082
STATE_DC,0.00738974559927541
STATE_NY,0.007363574121000447
YEAR,0.007143709726157199
STATE_KS,0.007072771157123555
STATE_WV,0.006528632483786399
STATE_IN,0.006068566556537143
STATE_OH,0.0057372461343909616
STATE_LA,0.0056422476986010195
"TYPE OF PRODUCER_Electric Generators, Independent Power Producers",0.005157308489182026
STATE_CA,0.004798214443820718
STATE_GA,0.004351138052428578
STATE_AZ,0.0042575941338848676
STATE_FL,0.0038295558366037543
STATE_KY,0.0019691282748839902
MONTH,0.0014554915682458746
STATE_AL,0.0007574036277385512
STATE_PA,0.0005034413301312591
ENERGY SOURCE_Natural Gas,0.00016026153165448
STATE_IL,0.0001455664656494101
