,Importance
Code_NOR,0.15645584695491965
Entity_Norway,0.1431850303041758
Code_ISL,0.11964002939442564
Entity_Iceland,0.10698957511222738
Code_NZL,0.04646012430154558
Entity_Middle Africa (BP),0.04494119268560055
Entity_New Zealand,0.04060934017050875
Code_BRA,0.0392459237904016
Year,0.03840759492887035
Entity_Brazil,0.03790573971346511
Code_CHE,0.02775566522397125
Code_SWE,0.027588918486417327
Entity_Eastern Africa (BP),0.02650778692604709
Entity_Sweden,0.025383812893185417
Entity_Switzerland,0.02408910496331538
Code_CAN,0.01914678609815541
Code_AUT,0.016557740353479358
Entity_Canada,0.01269500336450124
Entity_Austria,0.012506999908817066
Entity_South America,0.011390743639548182
Entity_South and Central America (BP),0.008290139262153653
Code_COL,0.006260829182574872
Entity_Colombia,0.003772189382255776
Entity_Peru,0.002157414507222275
Code_PER,0.0020564684522152233
Entity_Central America (BP),0.0
Code_CHL,0.0
Entity_Chile,0.0
Entity_Hong Kong,0.0
Code_HKG,0.0
Code_TTO,0.0
Entity_Trinidad and Tobago,0.0
Code_SAU,0.0
Entity_Saudi Arabia,0.0
Code_KWT,0.0
Entity_Kuwait,0.0
Entity_Oman,0.0
Code_OMN,0.0
Code_QAT,0.0
Entity_Qatar,0.0
Entity_United Arab Emirates,0.0
Code_SGP,0.0
Entity_Singapore,0.0
Code_ISR,0.0
Entity_Israel,0.0
Code_ZAF,0.0
Entity_South Africa,0.0
Entity_Cyprus,0.0
Code_CYP,0.0
Code_DZA,0.0
Entity_Algeria,0.0
Code_HUN,0.0
Entity_Hungary,0.0
Entity_Middle East (BP),0.0
Entity_Luxembourg,0.0
Code_LUX,0.0
Code_KOR,0.0
Entity_South Korea,0.0
Entity_Portugal,0.0
Code_PRT,0.0
Entity_Belgium,0.0
Code_BEL,0.0
Code_NLD,0.0
Entity_Netherlands,0.0
Entity_Poland,0.0
Code_POL,0.0
Code_CZE,0.0
Entity_Czechia,0.0
Code_TKM,0.0
Entity_Turkmenistan,0.0
Entity_Belarus,0.0
Code_BLR,0.0
Entity_Sri Lanka,0.0
Code_LKA,0.0
Code_FIN,0.0
Entity_Finland,0.0
Entity_Iran,0.0
Code_IRN,0.0
Code_IRQ,0.0
Entity_Iraq,0.0
Entity_Bangladesh,0.0
Code_BGD,0.0
Entity_United Kingdom,0.0
Code_GBR,0.0
Code_HRV,0.0
Entity_Croatia,0.0
Code_TWN,0.0
Entity_Taiwan,0.0
Code_UKR,0.0
Entity_Ukraine,0.0
Entity_Latvia,0.0
Code_LVA,0.0
Code_EST,0.0
Entity_Estonia,0.0
Entity_Indonesia,0.0
Code_IDN,0.0
