,Importance
Wind Generation - TWh,0.728771764214071
Hydro Generation - TWh,0.1901897451432
Solar Generation - TWh,0.040761856417039284
Year,0.01519633901419908
Code_OWID_WRL,0.004794977276460249
Entity_Europe (BP),0.0028210125202922922
Entity_World,0.0027924542044876714
Entity_Europe,0.0024891249089948274
Entity_High-income countries,0.0022795420576417814
Entity_OECD (BP),0.0021087140827998046
Entity_European Union (27),0.0020456958926411517
Code_USA,0.001553337971775635
Entity_United States,0.0014000599639355663
Entity_Upper-middle-income countries,0.000786300018809883
Entity_North America,0.0006941711557112261
Entity_North America (BP),0.0005349901410063787
Entity_Non-OECD (BP),0.00030771300119185183
Entity_Asia,0.00026884002541995505
Entity_Asia Pacific (BP),0.00020336199032243765
