,Importance
Electricity from wind (TWh),0.7720039479704739
Electricity from hydro (TWh),0.17040222942381775
Electricity from solar (TWh),0.034413822923879976
Year,0.012766382135654177
Entity_Upper-middle-income countries,0.0012923662884895513
Entity_G7 (Ember),0.0010067657409351582
Code_USA,0.0009403561627549479
Entity_United States,0.0008622551164982467
Entity_North America (BP),0.0006982170146902086
Entity_North America,0.00069346390801166
Entity_High-income countries,0.0006852183567424883
Entity_World,0.0006206428128003601
Entity_North America (Ember),0.0005074146159288926
Entity_OECD (BP),0.0003977454017099512
Entity_Europe (BP),0.0003616358287831407
Entity_OECD (Ember),0.0003568507025800358
Entity_G20 (Ember),0.00030815543292066574
Entity_Non-OECD (BP),0.00028144996956524837
Entity_European Union (27) (Ember),0.0002801374770821377
Entity_European Union (27),0.00022587443545381646
Entity_Europe,0.00022084188325817962
Entity_Asia,0.00019776846691418702
Entity_Asia Pacific (BP),0.0001800156146613295
Entity_Europe (Ember),0.00013033003770147896
Code_OWID_WRL,9.454582909612121e-05
Entity_Asia (Ember),7.156644959635498e-05
