,Importance
Entity_G20 (Ember),0.19142335718013698
Entity_World,0.17214826457796864
Entity_OECD (BP),0.11679446095355253
Code_OWID_WRL,0.1167651123755574
Entity_Non-OECD (BP),0.09376080196136996
Entity_High-income countries,0.08995924378285367
Entity_Upper-middle-income countries,0.07349857559477765
Entity_OECD (Ember),0.047385519841635526
Entity_Asia (Ember),0.03373912938002852
Entity_Europe,0.024371360124160125
Entity_Asia,0.01304789071773197
Entity_North America (BP),0.009752510389584156
Entity_North America,0.008980860317649107
Entity_Asia Pacific (BP),0.005154103171072649
Entity_G7 (Ember),0.0021814382788776857
Entity_Europe (Ember),0.0010373713530434025
Entity_Europe (BP),0.0
Entity_Latin America and Caribbean (Ember),0.0
Entity_North America (Ember),0.0
Entity_South and Central America (BP),0.0
Entity_South America,0.0
Code_CHN,0.0
Entity_China,0.0
