,Importance
Entity_Norway,0.1926063920451941
Code_NOR,0.15943310640307343
Code_ISL,0.13185973603230733
Entity_Iceland,0.06942411445869688
Entity_Middle Africa (BP),0.0574557635829063
Code_NZL,0.04220293225113472
Code_BRA,0.04179199421886138
Entity_New Zealand,0.0337264672473631
Entity_Switzerland,0.033672671603675076
Entity_Eastern Africa (BP),0.033575973379542386
Code_CHE,0.027548461119865354
Entity_Brazil,0.02595666553106872
Code_SWE,0.02539850423628533
Entity_Sweden,0.02329102400844001
Code_CAN,0.021042106639514432
Entity_Canada,0.018356583985526188
Entity_South America,0.013042102951709633
Code_AUT,0.0128564339239227
Entity_Austria,0.011374287442463406
Code_COL,0.00887040659368987
Entity_Colombia,0.007751422719187399
Entity_Peru,0.00633663407321966
Code_PER,0.0024262155523525706
Entity_South and Central America (BP),0.0
Code_CHL,0.0
Entity_Chile,0.0
Entity_Sri Lanka,0.0
Code_LKA,0.0
Entity_Hong Kong,0.0
Code_HKG,0.0
Code_TTO,0.0
Entity_Trinidad and Tobago,0.0
Code_ISR,0.0
Entity_Israel,0.0
Entity_Netherlands,0.0
Code_NLD,0.0
Entity_Denmark,0.0
Code_DNK,0.0
Entity_Oman,0.0
Code_OMN,0.0
Entity_United Arab Emirates,0.0
Code_KWT,0.0
Entity_Kuwait,0.0
Entity_Singapore,0.0
Code_SGP,0.0
Entity_Cyprus,0.0
Code_CYP,0.0
Entity_Qatar,0.0
Code_QAT,0.0
Code_SAU,0.0
Entity_Saudi Arabia,0.0
Code_BEL,0.0
Entity_Belgium,0.0
Code_HUN,0.0
Entity_Hungary,0.0
Entity_Central America (BP),0.0
Code_ZAF,0.0
Entity_South Africa,0.0
Entity_Poland,0.0
Code_POL,0.0
Code_GBR,0.0
Entity_United Kingdom,0.0
Code_LUX,0.0
Entity_Luxembourg,0.0
Entity_Algeria,0.0
Code_DZA,0.0
Entity_South Korea,0.0
Code_KOR,0.0
Code_CZE,0.0
Entity_Czechia,0.0
Entity_Middle East (BP),0.0
Entity_Germany,0.0
Code_DEU,0.0
Code_IRL,0.0
Entity_Ireland,0.0
Code_TKM,0.0
Entity_Turkmenistan,0.0
Code_EST,0.0
Entity_Estonia,0.0
Entity_Belarus,0.0
Code_BLR,0.0
Code_VEN,0.0
Entity_Venezuela,0.0
Entity_Croatia,0.0
Code_HRV,0.0
Code_IRN,0.0
Entity_Iran,0.0
Entity_Ecuador,0.0
Code_ECU,0.0
Entity_Lithuania,0.0
Code_LTU,0.0
Code_IRQ,0.0
Entity_Iraq,0.0
Code_BGD,0.0
Entity_Bangladesh,0.0
Code_LVA,0.0
Entity_Latvia,0.0
Entity_Indonesia,0.0
Code_IDN,0.0
Entity_Ukraine,0.0
Code_UKR,0.0
