,Importance
Entity_Middle Africa (BP),0.07758146001519106
Code_NOR,0.07340391698636385
Code_ALB,0.06488628409292543
Entity_Norway,0.055639014704954644
Entity_Albania,0.0487027929939004
Code_LSO,0.04262204570021012
Code_BRA,0.04102896913080126
Entity_Brazil,0.03676690108686623
Code_BTN,0.03662858022472198
Entity_Lesotho,0.03626692777077761
Entity_Bhutan,0.03527647841093768
Code_MOZ,0.03470519849162969
Code_ETH,0.03391179647902667
Code_ISL,0.028099345765347436
Entity_Mozambique,0.02735762341585344
Entity_Tajikistan,0.026104011532379873
Entity_Ethiopia,0.025847632015809214
Entity_Nepal,0.02510720276527702
Code_ZMB,0.02455147964459467
Entity_Zambia,0.023862040566510215
Entity_Iceland,0.02029825946259778
Code_TJK,0.020038882763777858
Code_NPL,0.018767446344508342
Code_PRY,0.018418895276438817
Code_COD,0.017604165657634337
Entity_Kyrgyzstan,0.015936746539156398
Entity_Democratic Republic of Congo,0.012685080809396208
Code_KGZ,0.01149034723572457
Entity_Paraguay,0.011412660156070209
Code_NAM,0.01109191456891668
Entity_Namibia,0.008343220533841669
Code_BDI,0.008158107830275882
Entity_Burundi,0.004210246288611419
Entity_Uganda,0.0034352003664816456
Code_MWI,0.0033431259705201037
Entity_Georgia,0.003240882146773722
Code_VEN,0.0030319526460759107
Code_UGA,0.0023982039965526948
Entity_Colombia,0.0017094954015699903
Entity_Malawi,0.0016445912584547584
Code_CAF,0.001025752079910638
Code_LAO,0.0009336562570156227
Code_GEO,0.0008256106025183424
Entity_South America,0.0008163468924579745
Entity_Venezuela,0.0007895071206399528
Entity_Central African Republic,0.0
Code_COL,0.0
Entity_Laos,0.0
Code_PER,0.0
Entity_Eastern Africa (BP),0.0
Entity_Peru,0.0
Code_ECU,0.0
Entity_Ecuador,0.0
Code_AFG,0.0
Code_CMR,0.0
Entity_Cameroon,0.0
Entity_Austria,0.0
Code_AUT,0.0
Entity_South and Central America (BP),0.0
Entity_Costa Rica,0.0
Code_CRI,0.0
Code_NZL,0.0
Entity_New Zealand,0.0
Entity_Canada,0.0
Code_CAN,0.0
Code_LKA,0.0
Entity_Sri Lanka,0.0
Code_AGO,0.0
Entity_Angola,0.0
Entity_North Korea,0.0
Code_PRK,0.0
Entity_Latvia,0.0
Code_LVA,0.0
Entity_Uruguay,0.0
Code_URY,0.0
Code_GRL,0.0
Entity_Greenland,0.0
Entity_Central America (BP),0.0
Code_GHA,0.0
Entity_Ghana,0.0
Entity_Switzerland,0.0
Code_CHE,0.0
Entity_Congo,0.0
Code_COG,0.0
Code_PAN,0.0
Entity_Panama,0.0
Code_GUF,0.0
Entity_French Guiana,0.0
Code_GIN,0.0
Entity_Guinea,0.0
Code_CYP,0.0
Entity_Cyprus,0.0
Entity_Denmark,0.0
Code_DNK,0.0
Entity_Netherlands,0.0
Code_NLD,0.0
Code_EST,0.0
Entity_Estonia,0.0
Entity_Kuwait,0.0
Code_KWT,0.0
Code_QAT,0.0
Entity_Qatar,0.0
Code_ARE,0.0
Entity_United Arab Emirates,0.0
Code_TTO,0.0
Entity_Trinidad and Tobago,0.0
Code_SGP,0.0
Entity_Singapore,0.0
Code_OMN,0.0
Entity_Oman,0.0
Entity_Hong Kong,0.0
Code_HKG,0.0
Code_TKM,0.0
Entity_Turkmenistan,0.0
Code_ISR,0.0
Entity_Israel,0.0
Entity_Belgium,0.0
Code_BEL,0.0
Entity_Croatia,0.0
Code_HRV,0.0
Code_BLR,0.0
Entity_Belarus,0.0
Code_HUN,0.0
Entity_Hungary,0.0
Code_SAU,0.0
Entity_Saudi Arabia,0.0
Entity_South Africa,0.0
Code_ZAF,0.0
Entity_Algeria,0.0
Code_DZA,0.0
Entity_Poland,0.0
Code_POL,0.0
Code_MLT,0.0
Entity_Malta,0.0
Code_GBR,0.0
Entity_United Kingdom,0.0
Entity_South Korea,0.0
Code_KOR,0.0
Code_ZWE,0.0
Entity_Zimbabwe,0.0
Code_CZE,0.0
Entity_Czechia,0.0
Entity_Myanmar,0.0
Code_MMR,0.0
Code_CHL,0.0
Entity_Chile,0.0
Entity_Germany,0.0
Code_DEU,0.0
Code_RWA,0.0
Entity_Rwanda,0.0
Entity_Ireland,0.0
Code_IRL,0.0
Entity_Taiwan,0.0
Code_TWN,0.0
Entity_Middle East (BP),0.0
Entity_Low-income countries,0.0
Code_SDN,0.0
Entity_Sudan,0.0
Code_TZA,0.0
Entity_Tanzania,0.0
Code_FJI,0.0
Entity_Fiji,0.0
Entity_Vietnam,0.0
Code_VNM,0.0
Entity_Lithuania,0.0
Code_LTU,0.0
Entity_Montenegro,0.0
Code_MNE,0.0
Code_BGD,0.0
Entity_Bangladesh,0.0
