,Importance
Year,0.3808585893681165
Entity_G20 (Ember),0.15275725169757612
Entity_High-income countries,0.07768451301622377
Entity_OECD (BP),0.0755596673656773
Entity_OECD (Ember),0.05160702305136313
Entity_World,0.04272894993123836
Code_OWID_WRL,0.040462799590229755
Entity_G7 (Ember),0.03854401899007787
Entity_Upper-middle-income countries,0.03488770249921729
Entity_Europe (BP),0.026047427206529097
Entity_Non-OECD (BP),0.024488983076083454
Entity_Europe (Ember),0.010113556166471938
Entity_European Union (27) (Ember),0.008661174384970305
Entity_European Union (27),0.008266563347532174
Entity_Asia (Ember),0.008233144858287217
Entity_Europe,0.007829645105739384
Entity_Asia Pacific (BP),0.004289750837860515
Entity_Asia,0.003752692828866052
Entity_North America (Ember),0.0032265466779398595
