,Importance
Year,0.4598841005368076
Code_OWID_WRL,0.15085936744991874
Entity_World,0.09272446523742413
Entity_High-income countries,0.06305180163183703
Entity_Europe,0.046503822340908336
Entity_Asia,0.04579300544241228
Entity_Asia Pacific (BP),0.03725953196984511
Entity_Upper-middle-income countries,0.0346302967686074
Entity_Europe (BP),0.029503287736816635
Entity_North America,0.010859057621449054
Entity_China,0.010222461267387082
Code_CHN,0.009871139504936757
Entity_North America (BP),0.008837662491649897
