,Importance
Year,0.29369506613848384
Code_FLK,0.08547680565359794
Entity_Denmark,0.08393910109250902
Code_DNK,0.08084477738266285
Entity_Falkland Islands,0.0702367529422024
Code_LTU,0.0544692582334597
Entity_Lithuania,0.048271201789793904
Entity_Ireland,0.04321258564640901
Code_IRL,0.03342214903534662
Entity_Portugal,0.02759166428353886
Entity_Uruguay,0.02547956421619869
Code_PRT,0.024969151364488355
Code_URY,0.01898577717942324
Entity_Luxembourg,0.017472192006388748
Code_LUX,0.01315043654895926
Entity_Cape Verde,0.011980251107957654
Entity_Germany,0.010919560558071431
Code_CPV,0.010738583980859438
Code_DEU,0.0079770385633683
Entity_Spain,0.006458187119668077
Code_ESP,0.005604293045302446
Code_NIC,0.005322706911601531
Entity_Nicaragua,0.00441967604876287
Entity_Faeroe Islands,0.004236151019559989
Entity_Aruba,0.0033698675793665455
Code_FRO,0.003119027032365997
Entity_Greece,0.0017061299056680354
Code_GRC,0.0016983724969328593
Entity_European Union (27) (Ember),0.000741056742832637
Entity_Costa Rica,0.00025063221854593583
Code_CRI,0.00024198215567397573
