,Importance
Year,0.2575272522367184
Entity_OECD (BP),0.1012268627028162
Entity_High-income countries,0.09766649872672098
Entity_G20 (Ember),0.09543044932480899
Entity_OECD (Ember),0.07448520702163125
Code_OWID_WRL,0.06656938373427454
Entity_World,0.05518030465629
Entity_Asia,0.05421182708981031
Entity_Asia (Ember),0.053524921144904807
Entity_Asia Pacific (BP),0.04591608440637386
Entity_G7 (Ember),0.04460835333912784
Entity_Non-OECD (BP),0.036104990141276876
Entity_Europe (Ember),0.01148373742483486
Entity_European Union (27) (Ember),0.006064128050411083
