,Importance
Year,0.3734452939489768
Entity_Cook Islands,0.1092103694728573
Code_COK,0.08304635384256048
Entity_Namibia,0.050607282562477846
Code_NAM,0.04674031804155393
Code_PSE,0.043913915555064305
Entity_Luxembourg,0.03336077557994794
Entity_Palestine,0.03252565300885461
Code_LUX,0.03185658472736403
Code_WSM,0.027337231564941947
Entity_Malta,0.017469546929758942
Entity_Samoa,0.01607747776926884
Code_MLT,0.015956931642948917
Entity_Jordan,0.010760667445245928
Code_YEM,0.009968165666599792
Entity_Tonga,0.009517661832850549
Code_GRC,0.009487511302215501
Code_JOR,0.009028484132209825
Entity_Vanuatu,0.008888794422659095
Entity_Greece,0.007700896261091412
Code_VUT,0.007559333757149656
Entity_Yemen,0.007375949970685926
Code_HND,0.005668271368243397
Code_TON,0.005636285587578007
Entity_Honduras,0.005561706991068392
Entity_Italy,0.004582296131682379
Code_DEU,0.004212105124991241
Code_ITA,0.0036330425291157386
Entity_Germany,0.0035320201539434685
Code_ESP,0.002010333386206874
Entity_Spain,0.00198344144789318
Code_PYF,0.0007720470367989365
Entity_French Polynesia,0.0003854695583801538
Entity_Niger,0.00013059657768002317
Code_NER,5.71846691346382e-05
