,Importance
Year,0.42287428248898895
Code_OWID_WRL,0.15058597240815771
Entity_World,0.1478202722790013
Entity_OECD (BP),0.08401324523262091
Entity_Non-OECD (BP),0.05470153299587648
Entity_North America (BP),0.049707306528483264
Code_USA,0.024698168486614172
Entity_South and Central America (BP),0.022080900782328654
Entity_United States,0.020202710116622124
Entity_Brazil,0.011119156255025164
Code_BRA,0.010992119161204355
Entity_Middle East (BP),0.0002707854018994525
Entity_Mexico,0.00024848368366518173
Code_MEX,0.00014837848789285124
Code_PRT,7.633959114182446e-05
Code_AUS,5.6655339194314135e-05
Entity_Portugal,5.5374384091172186e-05
Code_IDN,4.674172929384515e-05
Entity_Australia,4.422705416706417e-05
Code_AUT,4.311168389003924e-05
Entity_Colombia,3.151513665465485e-05
Entity_Italy,2.9583850158175366e-05
Entity_Austria,2.709889875834979e-05
Entity_United Kingdom,2.638183524842647e-05
Code_BEL,2.3775352809120798e-05
Entity_Indonesia,1.5698206014661674e-05
Code_POL,1.4911987876148402e-05
Entity_Sweden,1.1824241267853092e-05
Entity_Finland,9.549701642510407e-06
Code_IND,5.801974807032746e-06
Entity_Netherlands,4.453965364033047e-06
Code_FIN,3.8167975231878e-06
Entity_India,2.708118006516758e-06
Code_GBR,1.5070472756629206e-06
Code_NLD,1.4245840663421154e-06
Code_SWE,1.0658227907793327e-06
Entity_Argentina,9.778564220522684e-07
Entity_Thailand,7.492200051085304e-07
Code_CHN,5.265757576722661e-07
Entity_Belgium,4.709301326270811e-07
Entity_China,3.28798136453209e-07
Entity_France,6.500912354320122e-08
Entity_South Korea,0.0
Code_COL,0.0
Code_KOR,0.0
Entity_Poland,0.0
Code_ITA,0.0
Code_THA,0.0
Entity_Spain,0.0
Code_CAN,0.0
Entity_Canada,0.0
Code_ESP,0.0
Code_FRA,0.0
