,Importance
Electricity Installed Capacity (MW),0.9388534497586998
Technology_Coal and peat,0.021745638367747785
Technology_Natural gas,0.01342583943092329
RE or Non-RE_Total Renewable,0.006320645116374855
Group Technology_Nuclear,0.002891219161778769
ISO3 code_RUS,0.0027806549747907195
Country_Russian Federation (the),0.002637540421255125
Technology_Nuclear,0.0023848378953123463
ISO3 code_JPN,0.0012474401518309025
Country_United States of America (the),0.001166425759637963
Sub-region_Eastern Asia,0.0010811515334992056
ISO3 code_USA,0.0010482957102563087
Group Technology_Fossil fuels,0.0009469979936994663
Sub-region_Northern America,0.000900604787299404
ISO3 code_CHN,0.0007563898826539816
Country_Japan,0.0006380941520685818
Region_Asia,0.0006014620464713651
Country_China,0.0005381697287651217
Producer Type_On-grid electricity,3.5143126934850366e-05
