dataset,rmse_baseline,corr_baseline,rmse_tuned,corr_tuned,time_sec
GlobalRenewEnergyProd_2000_2022_IRENA_RenewableEnergy_Statistics_2000-2022,27253.03,0.99,25331.55,0.99,15.48
USEnergyGen_2001_2022_organised_Gen,6201109.01,0.81,6201109.01,0.81,17.48
EvoModernRenewEnergyDS_01 renewable-share-energy,8.65,0.75,6.9,0.85,4.56
EvoModernRenewEnergyDS_02 modern-renewable-energy-consumption,9.5,0.98,6.12,0.99,5.52
EvoModernRenewEnergyDS_03 modern-renewable-prod,9.07,0.99,6.3,0.99,6.12
EvoModernRenewEnergyDS_04 share-electricity-renewables,28.83,0.41,27.15,0.51,10.86
EvoModernRenewEnergyDS_05 hydropower-consumption,252.87,0.8,212.46,0.86,2.6
EvoModernRenewEnergyDS_06 hydro-share-energy,8.13,0.73,6.31,0.85,4.15
EvoModernRenewEnergyDS_07 share-electricity-hydro,27.87,0.38,26.07,0.51,7.75
EvoModernRenewEnergyDS_08 wind-generation,63.19,0.81,48.0,0.9,2.87
EvoModernRenewEnergyDS_09 cumulative-installed-wind-energy-capacity-gigawatts,36.5,0.84,17.56,0.97,1.42
EvoModernRenewEnergyDS_10 wind-share-energy,0.77,0.88,0.65,0.91,2.15
EvoModernRenewEnergyDS_11 share-electricity-wind,2.96,0.77,2.47,0.84,2.92
EvoModernRenewEnergyDS_12 solar-energy-consumption,28.43,0.86,18.91,0.94,2.53
EvoModernRenewEnergyDS_13 installed-solar-PV-capacity,26.5,0.89,14.61,0.97,1.57
EvoModernRenewEnergyDS_14 solar-share-energy,0.33,0.79,0.3,0.83,2.07
EvoModernRenewEnergyDS_15 share-electricity-solar,1.52,0.62,1.34,0.73,3.45
EvoModernRenewEnergyDS_16 biofuel-production,53.74,0.94,28.96,0.98,1.72
EvoModernRenewEnergyDS_17 installed-geothermal-capacity,480.24,0.97,398.55,0.98,1.55
