Dataset,,Unnamed: 0,Importance
EvoModernRenewEnergyDS_05 hydropower-consumption,0,Entity_G20 (Ember),0.1914233571801369
EvoModernRenewEnergyDS_05 hydropower-consumption,1,Entity_World,0.1721482645779686
EvoModernRenewEnergyDS_05 hydropower-consumption,2,Entity_OECD (BP),0.1167944609535525
EvoModernRenewEnergyDS_05 hydropower-consumption,3,Code_OWID_WRL,0.1167651123755574
EvoModernRenewEnergyDS_05 hydropower-consumption,4,Entity_Non-OECD (BP),0.0937608019613699
EvoModernRenewEnergyDS_17 installed-geothermal-capacity,0,Entity_World,0.3090462398347154
EvoModernRenewEnergyDS_17 installed-geothermal-capacity,1,Code_OWID_WRL,0.2981614668485033
EvoModernRenewEnergyDS_17 installed-geothermal-capacity,2,Year,0.1173027891629762
EvoModernRenewEnergyDS_17 installed-geothermal-capacity,3,Entity_Asia Pacific,0.1040685189354653
EvoModernRenewEnergyDS_17 installed-geothermal-capacity,4,Entity_North America,0.0907136617302582
EvoModernRenewEnergyDS_15 share-electricity-solar,0,Year,0.3734452939489768
EvoModernRenewEnergyDS_15 share-electricity-solar,1,Entity_Cook Islands,0.1092103694728573
EvoModernRenewEnergyDS_15 share-electricity-solar,2,Code_COK,0.0830463538425604
EvoModernRenewEnergyDS_15 share-electricity-solar,3,Entity_Namibia,0.0506072825624778
EvoModernRenewEnergyDS_15 share-electricity-solar,4,Code_NAM,0.0467403180415539
EvoModernRenewEnergyDS_13 installed-solar-PV-capacity,0,Year,0.3451296861153338
EvoModernRenewEnergyDS_13 installed-solar-PV-capacity,1,Entity_Asia Pacific (BP),0.1319056537558301
EvoModernRenewEnergyDS_13 installed-solar-PV-capacity,2,Code_OWID_WRL,0.109948099616884
EvoModernRenewEnergyDS_13 installed-solar-PV-capacity,3,Entity_Asia,0.1048075924769633
EvoModernRenewEnergyDS_13 installed-solar-PV-capacity,4,Entity_World,0.0947892450330054
EvoModernRenewEnergyDS_03 modern-renewable-prod,0,Electricity from wind (TWh),0.7720039479704739
EvoModernRenewEnergyDS_03 modern-renewable-prod,1,Electricity from hydro (TWh),0.1704022294238177
EvoModernRenewEnergyDS_03 modern-renewable-prod,2,Electricity from solar (TWh),0.0344138229238799
EvoModernRenewEnergyDS_03 modern-renewable-prod,3,Year,0.0127663821356541
EvoModernRenewEnergyDS_03 modern-renewable-prod,4,Entity_Upper-middle-income countries,0.0012923662884895
EvoModernRenewEnergyDS_02 modern-renewable-energy-consumption,0,Wind Generation - TWh,0.728771764214071
EvoModernRenewEnergyDS_02 modern-renewable-energy-consumption,1,Hydro Generation - TWh,0.1901897451432
EvoModernRenewEnergyDS_02 modern-renewable-energy-consumption,2,Solar Generation - TWh,0.0407618564170392
EvoModernRenewEnergyDS_02 modern-renewable-energy-consumption,3,Year,0.015196339014199
EvoModernRenewEnergyDS_02 modern-renewable-energy-consumption,4,Code_OWID_WRL,0.0047949772764602
EvoModernRenewEnergyDS_14 solar-share-energy,0,Year,0.6559455109749747
EvoModernRenewEnergyDS_14 solar-share-energy,1,Code_ITA,0.0486544500177917
EvoModernRenewEnergyDS_14 solar-share-energy,2,Entity_Italy,0.0469135817498626
EvoModernRenewEnergyDS_14 solar-share-energy,3,Entity_Greece,0.042264288832016
